_id,rh_extremes_minimum,month
137,46,1993-05
136,51,1993-04
135,56,1993-03
134,50,1993-02
133,58,1993-01
132,60,1992-12
131,59,1992-11
130,48,1992-10
129,45,1992-09
128,46,1992-08
127,55,1992-07
126,52,1992-06
125,53,1992-05
124,44,1992-04
123,54,1992-03
122,49,1992-02
121,55,1992-01
120,61,1991-12
119,53,1991-11
118,40,1991-10
117,58,1991-09
116,43,1991-08
115,44,1991-07
114,56,1991-06
113,57,1991-05
112,49,1991-04
111,50,1991-03
110,51,1991-02
109,50,1991-01
108,58,1990-12
107,49,1990-11
106,50,1990-10
105,39,1990-09
104,46,1990-08
103,53,1990-07
102,46,1990-06
101,45,1990-05
100,44,1990-04
99,39,1990-03
98,38,1990-02
97,52,1990-01
96,58,1989-12
95,56,1989-11
94,51,1989-10
93,50,1989-09
92,48,1989-08
91,53,1989-07
90,53,1989-06
89,55,1989-05
88,53,1989-04
87,60,1989-03
86,51,1989-02
85,55,1989-01
84,58,1988-12
83,58,1988-11
82,46,1988-10
81,51,1988-09
80,54,1988-08
79,57,1988-07
78,45,1988-06
77,53,1988-05
76,54,1988-04
75,45,1988-03
74,55,1988-02
73,57,1988-01
72,57,1987-12
71,54,1987-11
70,49,1987-10
69,51,1987-09
68,57,1987-08
67,55,1987-07
66,47,1987-06
65,59,1987-05
64,51,1987-04
63,50,1987-03
62,47,1987-02
61,56,1987-01
60,55,1986-12
59,53,1986-11
58,57,1986-10
57,54,1986-09
56,40,1986-08
55,48,1986-07
54,50,1986-06
53,48,1986-05
52,54,1986-04
51,55,1986-03
50,48,1986-02
49,55,1986-01
48,56,1985-12
47,54,1985-11
46,43,1985-10
45,48,1985-09
44,53,1985-08
43,50,1985-07
42,43,1985-06
41,55,1985-05
40,55,1985-04
39,56,1985-03
38,51,1985-02
37,49,1985-01
36,58,1984-12
35,58,1984-11
34,53,1984-10
33,49,1984-09
32,60,1984-08
31,55,1984-07
30,52,1984-06
29,54,1984-05
28,55,1984-04
27,56,1984-03
26,58,1984-02
25,55,1984-01
24,57,1983-12
23,49,1983-11
22,47,1983-10
21,55,1983-09
20,44,1983-08
19,54,1983-07
18,51,1983-06
17,58,1983-05
16,39,1983-04
15,40,1983-03
14,41,1983-02
13,53,1983-01
12,56,1982-12
11,47,1982-11
10,49,1982-10
9,49,1982-09
8,52,1982-08
7,38,1982-07
6,53,1982-06
5,57,1982-05
4,54,1982-04
3,51,1982-03
2,49,1982-02
1,49,1982-01
