Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days,Prob_rain
1990-11-01,26.1,22.4,31.3,27.2,34.0,4.6,25.0,46.9,180.4,49.0,83.5,17.0,2
1990-12-01,25.9,22.9,30.2,26.3,31.8,5.5,24.5,33.5,201.1,58.0,86.0,16.0,2
1991-01-01,26.1,22.7,30.9,26.7,33.1,5.6,24.6,36.2,123.9,50.0,84.1,13.0,1
1991-02-01,26.0,22.7,31.8,27.1,33.5,7.0,24.6,17.9,45.5,51.0,81.6,7.0,1
1991-03-01,25.9,22.5,32.4,27.8,34.0,7.1,25.0,48.6,92.4,50.0,79.9,10.0,1
1991-04-01,26.2,22.8,32.3,27.7,34.1,5.8,25.6,32.2,134.2,49.0,84.3,13.0,1
1991-05-01,25.8,22.6,31.5,27.7,33.2,5.1,25.9,44.0,256.4,57.0,86.6,23.0,2
1991-06-01,26.0,23.5,32.2,28.6,33.6,7.1,26.0,55.6,88.7,56.0,81.0,9.0,1
1991-07-01,25.9,23.1,32.1,28.5,34.0,6.7,25.5,10.7,37.3,44.0,78.7,8.0,1
1991-08-01,26.1,22.4,32.2,28.2,33.6,5.3,25.4,129.9,226.2,43.0,79.8,8.0,1
1991-09-01,25.3,23.0,31.3,27.5,32.5,4.1,25.3,53.6,123.1,58.0,83.0,12.0,1
1991-10-01,26.0,22.9,31.8,27.5,33.4,4.2,25.0,20.4,52.0,40.0,81.4,5.0,1
1991-11-01,26.5,22.0,30.6,26.3,32.6,3.5,24.5,75.2,205.0,53.0,86.5,19.0,2
1991-12-01,25.9,22.2,29.1,25.6,31.5,3.0,24.4,79.4,492.3,61.0,90.7,19.0,2
1992-01-01,25.9,22.1,30.7,26.6,31.8,6.6,24.3,56.2,83.9,55.0,82.4,9.0,1
1992-02-01,25.6,22.3,32.1,27.5,33.1,7.7,24.8,43.2,62.4,49.0,80.5,4.0,0
1992-03-01,25.8,22.9,33.0,28.2,34.7,7.4,25.5,35.1,67.6,54.0,80.6,6.0,1
1992-04-01,25.7,22.5,32.9,28.4,34.6,6.4,26.0,94.7,160.3,44.0,82.4,13.0,1
1992-05-01,25.8,23.5,32.5,28.1,34.1,5.7,25.9,13.7,63.1,53.0,83.3,13.0,1
1992-06-01,26.2,21.1,32.0,28.0,33.6,5.5,25.7,38.4,162.8,52.0,82.7,14.0,1
1992-07-01,26.1,22.1,30.9,27.3,33.5,4.7,25.2,97.3,290.8,55.0,83.8,19.0,2
1992-08-01,25.8,21.7,31.4,27.8,33.6,5.7,25.2,31.0,76.1,46.0,81.1,11.0,1
1992-09-01,26.2,22.9,31.5,27.3,34.0,5.0,25.0,17.5,83.6,45.0,82.9,13.0,1
1992-10-01,26.1,22.9,31.4,27.4,32.9,4.5,25.0,45.5,233.2,48.0,82.0,20.0,2
1992-11-01,25.8,22.5,30.0,26.1,32.0,3.7,24.5,120.6,474.3,59.0,87.7,18.0,2
1992-12-01,26.0,22.2,29.2,25.5,31.4,3.4,24.3,105.7,502.7,60.0,90.3,23.0,2
1993-01-01,25.7,21.9,29.9,26.2,31.6,5.5,24.3,37.2,176.4,58.0,85.7,11.0,1
1993-02-01,26.2,22.7,31.4,26.7,32.7,8.5,24.1,27.0,69.2,50.0,80.5,8.0,1
1993-03-01,25.9,22.3,30.7,26.7,32.2,5.4,24.9,56.9,250.5,56.0,86.3,14.0,1
1993-04-01,26.2,21.7,31.9,27.6,33.5,6.4,25.5,56.7,283.9,51.0,84.5,20.0,2
1993-05-01,25.7,22.5,31.9,28.2,34.2,6.0,25.9,37.2,129.9,46.0,82.9,10.0,1
1993-06-01,26.0,22.7,31.9,28.5,33.3,6.2,25.8,29.4,115.5,50.0,80.9,17.0,2
1993-07-01,26.1,22.5,31.1,27.9,32.8,5.2,25.6,46.4,240.0,52.0,83.2,15.0,2
1993-08-01,26.2,22.0,32.1,28.6,33.9,7.4,25.7,53.5,106.8,51.0,79.4,11.0,1
1993-09-01,25.4,22.7,31.7,27.9,33.2,5.9,25.3,42.0,61.7,45.0,81.4,7.0,1
1993-10-01,26.0,22.5,31.6,27.5,33.2,5.2,25.4,62.7,175.5,51.0,84.3,13.0,1
1993-11-01,26.1,22.7,30.9,26.9,32.5,4.7,25.2,61.3,250.8,57.0,87.4,18.0,2
1993-12-01,25.6,22.4,30.3,26.5,32.9,4.2,24.9,67.6,308.5,57.0,87.4,19.0,2
1994-01-01,26.3,23.1,30.9,26.9,32.4,6.1,24.5,17.5,56.9,50.0,82.1,7.0,1
1994-02-01,26.0,22.6,31.6,27.0,32.5,6.4,25.0,26.3,133.5,53.0,84.5,15.0,2
1994-03-01,26.0,22.9,30.5,26.8,32.2,3.5,25.1,64.2,288.2,55.0,87.1,19.0,2
1994-04-01,25.7,23.2,31.9,27.9,33.6,5.8,25.8,46.3,154.0,54.0,84.8,15.0,2
1994-05-01,25.9,22.6,31.1,28.1,32.6,5.0,26.0,45.1,169.6,52.0,84.8,16.0,2
1994-06-01,26.2,22.2,31.3,28.1,33.1,6.0,25.8,61.1,184.7,55.0,83.5,14.0,1
1994-07-01,26.1,20.5,31.6,28.4,32.7,7.6,25.5,17.0,53.8,53.0,78.9,6.0,1
1994-08-01,26.1,22.5,31.9,28.1,32.9,6.5,25.4,15.5,45.1,52.0,80.0,12.0,1
1994-09-01,25.7,22.0,31.9,28.3,34.1,3.8,25.4,11.3,23.7,37.0,78.7,6.0,1
1994-10-01,25.5,22.7,32.1,27.9,34.2,4.5,25.3,35.4,84.7,43.0,81.5,11.0,1
1994-11-01,26.1,22.4,30.5,26.7,32.5,4.5,25.2,178.3,322.2,58.0,88.4,21.0,2
1994-12-01,26.3,22.0,30.7,26.9,32.6,5.3,24.9,133.8,425.4,58.0,85.5,18.0,2
1995-01-01,25.6,21.8,30.6,26.8,32.8,5.0,25.0,108.3,349.4,59.0,86.2,21.0,2
1995-02-01,25.8,22.6,29.9,26.5,32.4,4.9,24.8,159.3,334.0,60.0,87.5,16.0,2
