Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days,Prob_rain
1995-03-01,26.3,23.1,31.8,27.6,33.2,5.9,25.4,31.1,67.7,54.0,83.9,10.0,1
1995-04-01,26.0,23.5,32.0,27.9,33.5,5.6,25.9,73.6,242.3,53.0,85.3,16.0,2
1995-05-01,25.9,23.2,32.3,28.5,34.0,6.0,26.3,32.8,84.4,54.0,83.7,11.0,1
1995-06-01,25.5,24.3,32.7,28.9,34.0,6.6,26.3,45.0,63.7,51.0,81.9,12.0,1
1995-07-01,25.7,22.8,31.2,28.0,33.0,5.2,25.7,52.3,173.6,58.0,82.6,13.0,1
1995-08-01,25.9,22.8,30.6,27.4,32.4,4.1,25.5,37.9,211.6,58.0,85.6,21.0,2
1995-09-01,26.1,22.6,32.0,28.3,33.0,5.8,25.8,5.7,29.5,51.0,81.6,7.0,1
1995-10-01,25.9,22.9,32.1,27.8,34.1,4.7,25.5,37.1,101.1,45.0,82.8,12.0,1
1995-11-01,25.8,22.5,31.0,27.0,33.3,3.7,25.2,198.6,372.8,51.0,86.8,20.0,2
1995-12-01,26.0,22.5,29.5,26.3,32.5,3.1,24.5,55.6,302.5,58.0,86.6,20.0,2
1996-01-01,25.9,22.1,30.1,26.2,32.5,5.2,24.1,39.0,173.2,54.0,84.2,10.0,1
1996-02-01,25.8,22.3,30.2,26.5,32.0,5.8,24.4,53.0,180.2,52.0,84.6,11.0,1
1996-03-01,26.0,22.2,32.4,27.8,34.4,7.7,25.1,61.8,129.7,50.0,81.0,8.0,1
1996-04-01,25.9,23.2,31.7,27.8,33.6,5.4,25.8,55.7,178.2,56.0,85.5,15.0,2
1996-05-01,25.8,22.9,32.4,28.5,33.3,7.0,26.3,18.6,107.5,55.0,83.7,15.0,2
1996-06-01,25.7,22.1,32.0,28.3,33.9,5.9,26.1,94.3,265.8,56.0,84.3,15.0,2
1996-07-01,25.0,22.1,31.5,28.3,33.3,6.7,25.9,55.3,162.3,52.0,81.9,10.0,1
1996-08-01,25.9,22.3,31.4,27.4,33.1,5.0,25.2,64.6,258.4,50.0,83.4,18.0,2
1996-09-01,26.0,22.3,31.1,27.7,33.2,4.8,25.3,66.5,297.0,52.0,82.2,18.0,2
1996-10-01,25.7,22.9,31.2,27.5,33.1,4.3,25.2,45.8,300.0,52.0,83.0,19.0,2
1996-11-01,25.8,22.4,31.5,27.3,33.6,4.4,25.1,60.5,180.2,43.0,83.5,16.0,2
1996-12-01,26.0,22.6,30.7,26.6,33.0,4.5,24.3,72.4,185.5,55.0,82.9,15.0,2
1997-01-01,25.7,23.1,31.5,27.1,33.3,7.7,24.0,13.9,15.4,48.0,77.3,3.0,0
1997-02-01,25.8,22.3,31.9,27.4,33.7,4.9,24.8,35.7,105.4,52.0,80.8,8.0,1
1997-03-01,25.8,23.7,32.8,28.1,34.2,7.0,25.2,17.4,34.3,44.0,79.6,10.0,1
1997-04-01,25.8,22.3,32.5,28.1,34.4,5.6,25.7,44.6,118.4,46.0,82.7,12.0,1
1997-05-01,26.2,24.7,33.6,29.3,35.1,6.7,26.2,35.6,41.6,49.0,77.7,6.0,1
1997-06-01,26.6,23.6,33.2,29.3,34.7,7.3,26.0,25.0,78.9,49.0,76.7,12.0,1
1997-07-01,25.4,23.6,32.4,28.8,34.0,6.5,25.5,5.4,18.6,47.0,76.5,9.0,1
1997-08-01,25.8,22.0,32.6,28.8,34.0,5.7,25.7,61.4,86.6,52.0,78.2,9.0,1
