Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days
1985-09-01,0.0,22.1,30.9,26.9,32.5,5.0,0.0,22.0,110.7,48.0,83.1,18.0
1985-10-01,0.0,21.7,30.6,26.7,33.4,4.1,0.0,30.2,169.0,43.0,84.7,21.0
1985-11-01,0.0,22.5,31.1,26.6,33.0,4.1,0.0,38.2,179.4,54.0,85.0,21.0
1985-12-01,0.0,22.9,30.2,26.1,32.4,4.6,0.0,86.8,340.1,56.0,86.2,22.0
1986-01-01,0.0,21.5,29.3,25.7,31.4,3.9,0.0,95.6,308.2,55.0,83.9,13.0
1986-02-01,0.0,22.5,31.9,26.9,33.2,7.2,0.0,23.0,26.7,48.0,78.4,2.0
1986-03-01,0.0,22.6,30.5,26.4,32.7,4.6,0.0,71.1,353.4,55.0,86.6,17.0
1986-04-01,0.0,22.4,31.7,27.4,32.8,6.2,0.0,56.4,150.0,54.0,85.3,14.0
1986-05-01,0.0,22.0,31.8,28.2,33.4,6.1,0.0,51.3,145.1,48.0,81.8,13.0
1986-06-01,0.0,22.2,31.6,27.9,33.2,6.8,0.0,34.5,122.9,50.0,82.5,13.0
1986-07-01,0.0,21.9,31.5,27.9,33.2,6.2,0.0,23.5,109.7,48.0,79.9,12.0
1986-08-01,0.0,21.9,31.9,28.3,34.2,5.6,25.185139318885447,28.4,72.9,40.0,77.3,11.0
1986-09-01,0.0,21.2,30.6,26.7,32.4,4.8,24.644861111111137,97.6,396.0,54.0,84.4,22.0
1986-10-01,0.0,22.5,30.9,26.9,32.6,5.0,24.905376344086008,65.6,227.3,57.0,85.0,20.0
1986-11-01,0.0,22.8,30.9,26.6,32.8,4.5,24.504583333333354,40.5,256.7,53.0,84.1,21.0
1986-12-01,0.0,22.5,30.3,26.3,32.0,5.4,24.40349462365591,131.7,367.2,55.0,85.2,16.0
1987-01-01,0.0,22.1,28.8,25.5,31.4,4.0,23.70255376344087,127.4,568.6,56.0,86.0,16.0
1987-02-01,0.0,22.8,31.6,26.6,33.0,9.2,23.781994047619047,34.8,86.9,47.0,79.0,7.0
1987-03-01,0.0,23.0,32.1,27.5,33.3,6.9,25.19475806451614,40.9,132.5,50.0,83.2,12.0
1987-04-01,0.0,22.5,32.6,27.9,34.6,6.2,25.573194444444486,27.7,72.5,51.0,82.8,10.0
1987-05-01,0.0,22.4,31.7,27.6,33.2,5.6,25.557661290322574,81.4,270.0,59.0,84.6,16.0
1987-06-01,0.0,22.0,32.4,28.7,33.5,6.8,26.00152777777778,30.7,126.6,47.0,80.7,15.0
1987-07-01,0.0,22.5,31.6,28.1,33.7,6.7,25.540188172043006,21.6,80.9,55.0,81.3,11.0
1987-08-01,0.0,22.5,31.1,27.4,33.8,5.1,25.20483870967744,48.2,191.9,57.0,83.6,16.0
1987-09-01,0.0,21.2,31.7,27.6,33.6,5.4,25.210277777777794,44.5,129.9,51.0,82.5,11.0
1987-10-01,0.0,23.5,32.5,27.9,33.7,5.8,25.40389784946236,5.9,22.6,49.0,82.1,9.0
1987-11-01,0.0,22.9,31.7,27.3,33.3,4.5,25.09986111111114,77.7,347.6,54.0,84.0,17.0
1987-12-01,0.0,22.7,30.4,26.4,32.8,4.8,24.409811827957,24.3,72.8,57.0,84.6,11.0
1988-01-01,0.0,23.2,30.8,26.8,33.1,5.9,24.706989247311856,69.0,237.5,57.0,84.3,15.0
1988-02-01,0.0,23.6,32.0,27.1,33.8,6.7,24.87528735632184,46.7,158.1,55.0,83.2,9.0
1988-03-01,0.0,22.5,31.3,27.3,34.7,5.2,25.286827956989207,70.1,186.8,45.0,85.3,15.0
1988-04-01,0.0,24.2,32.4,27.8,33.7,5.4,25.702500000000043,22.8,109.6,54.0,84.5,13.0
1988-05-01,0.0,23.3,32.0,28.4,34.2,5.6,26.008467741935522,76.7,229.6,53.0,82.7,14.0
1988-06-01,0.0,22.2,31.8,28.0,33.6,6.5,25.45930555555559,69.4,252.2,45.0,81.6,13.0
1988-07-01,0.0,21.0,31.2,27.3,33.8,6.0,25.20443548387097,75.6,305.4,57.0,84.0,15.0
1988-08-01,0.0,22.6,30.8,27.0,32.7,4.9,25.002150537634403,19.0,80.1,54.0,84.9,14.0
1988-09-01,0.0,21.7,31.0,27.1,33.3,4.8,25.00472222222223,187.3,440.4,51.0,84.5,14.0
1988-10-01,0.0,22.4,31.5,27.5,34.5,4.1,25.170295698924733,39.8,134.6,46.0,83.2,17.0
1988-11-01,0.0,22.1,30.3,26.3,32.8,3.7,24.58527777777779,111.9,401.4,58.0,86.8,23.0
1988-12-01,0.0,23.0,30.4,26.2,31.6,5.7,23.718413978494603,22.0,62.9,58.0,81.1,11.0
1989-01-01,0.0,22.6,30.9,26.5,32.8,5.8,24.397043010752704,53.0,189.7,55.0,84.1,10.0
1989-02-01,0.0,22.3,31.8,26.6,33.3,6.7,23.703869047619055,48.4,52.4,51.0,78.3,3.0
1989-03-01,0.0,22.6,31.0,26.3,32.5,4.5,24.722043010752724,63.5,305.9,60.0,87.6,21.0
1989-04-01,0.0,21.9,31.8,27.0,34.5,5.7,25.190555555555555,39.0,198.6,53.0,86.4,17.0
1989-05-01,0.0,21.2,31.5,27.3,33.3,5.2,25.475537634408578,38.2,194.0,55.0,86.6,12.0
1989-06-01,0.0,22.3,31.7,27.5,33.2,6.0,25.196111111111158,45.9,117.6,53.0,83.3,12.0
1989-07-01,0.0,22.2,31.6,27.7,32.7,6.0,25.38655913978496,33.3,157.6,53.0,82.6,12.0
1989-08-01,0.0,21.5,31.0,27.1,33.3,5.3,24.96639784946239,81.4,201.0,48.0,83.7,18.0
1989-09-01,0.0,21.3,30.8,26.9,32.7,5.5,24.846250000000005,102.2,247.3,50.0,84.4,14.0
1989-10-01,0.0,21.1,31.3,27.1,32.9,5.5,24.879838709677436,24.9,111.0,51.0,83.7,16.0
1989-11-01,0.0,22.6,31.0,26.7,32.8,5.4,24.797499999999996,148.6,508.4,56.0,86.0,20.0
1989-12-01,0.0,22.5,30.2,26.3,32.0,4.8,24.378897849462373,44.2,179.7,58.0,85.5,18.0
1990-01-01,0.0,22.4,30.3,26.2,32.1,5.3,24.047311827956968,73.9,147.4,52.0,83.8,13.0
1990-02-01,0.0,24.0,32.4,27.6,34.0,8.9,24.96175595238095,6.6,24.1,38.0,80.9,8.0
1990-03-01,0.0,21.4,33.3,28.2,34.7,8.3,25.079569892473135,48.6,94.2,39.0,77.6,4.0
1990-04-01,0.0,23.1,33.4,28.5,35.0,6.3,25.885972222222215,12.0,52.4,44.0,81.2,10.0
1990-05-01,0.0,23.0,32.8,28.6,34.6,6.5,25.933064516129008,153.7,180.1,45.0,81.1,11.0
1990-06-01,0.0,21.9,32.4,28.3,33.8,6.3,25.693888888888893,76.1,112.6,46.0,80.7,9.0
1990-07-01,0.0,22.6,31.4,27.5,33.5,5.9,25.13104838709678,44.5,124.0,53.0,82.7,12.0
1990-08-01,0.0,21.1,31.4,28.0,33.9,5.8,25.574731182795677,38.3,146.6,46.0,82.3,13.0
1990-09-01,0.0,21.2,31.3,27.2,33.3,5.1,24.977499999999974,44.5,204.5,39.0,83.2,17.0
1990-10-01,0.0,23.7,31.8,27.5,33.3,5.9,25.24516129032259,20.2,56.4,50.0,83.5,12.0
1990-11-01,0.0,22.4,31.3,27.2,34.0,4.6,24.983611111111124,46.9,180.4,49.0,83.5,17.0
1990-12-01,0.0,22.9,30.2,26.3,31.8,5.5,24.472311827956997,33.5,201.1,58.0,86.0,16.0
1991-01-01,0.0,22.7,30.9,26.7,33.1,5.6,24.584543010752697,36.2,123.9,50.0,84.1,13.0
1991-02-01,0.0,22.7,31.8,27.1,33.5,7.0,24.620386904761922,17.9,45.5,51.0,81.6,7.0
1991-03-01,0.0,22.5,32.4,27.8,34.0,7.1,25.04637096774192,48.6,92.4,50.0,79.9,10.0
1991-04-01,0.0,22.8,32.3,27.7,34.1,5.8,25.615138888888897,32.2,134.2,49.0,84.3,13.0
1991-05-01,0.0,22.6,31.5,27.7,33.2,5.1,25.91021505376345,44.0,256.4,57.0,86.6,23.0
1991-06-01,0.0,23.5,32.2,28.6,33.6,7.1,25.97041666666665,55.6,88.7,56.0,81.0,9.0
1991-07-01,0.0,23.1,32.1,28.5,34.0,6.7,25.533736559139786,10.7,37.3,44.0,78.7,8.0
1991-08-01,0.0,22.4,32.2,28.2,33.6,5.3,25.400000000000038,129.9,226.2,43.0,79.8,8.0
1991-09-01,0.0,23.0,31.3,27.5,32.5,4.1,25.26930555555555,53.6,123.1,58.0,83.0,12.0
1991-10-01,0.0,22.9,31.8,27.5,33.4,4.2,24.985483870967766,20.4,52.0,40.0,81.4,5.0
1991-11-01,0.0,22.0,30.6,26.3,32.6,3.5,24.492916666666684,75.2,205.0,53.0,86.5,19.0
1991-12-01,0.0,22.2,29.1,25.6,31.5,3.0,24.439381720430113,79.4,492.3,61.0,90.7,19.0
1992-01-01,0.0,22.1,30.7,26.6,31.8,6.6,24.292741935483857,56.2,83.9,55.0,82.4,9.0
1992-02-01,0.0,22.3,32.1,27.5,33.1,7.7,24.784913793103463,43.2,62.4,49.0,80.5,4.0
1992-03-01,0.0,22.9,33.0,28.2,34.7,7.4,25.50577956989247,35.1,67.6,54.0,80.6,6.0
1992-04-01,0.0,22.5,32.9,28.4,34.6,6.4,25.965000000000003,94.7,160.3,44.0,82.4,13.0
1992-05-01,0.0,23.5,32.5,28.1,34.1,5.7,25.850537634408646,13.7,63.1,53.0,83.3,13.0
1992-06-01,0.0,21.1,32.0,28.0,33.6,5.5,25.671666666666646,38.4,162.8,52.0,82.7,14.0
1992-07-01,0.0,22.1,30.9,27.3,33.5,4.7,25.163037634408596,97.3,290.8,55.0,83.8,19.0
1992-08-01,0.0,21.7,31.4,27.8,33.6,5.7,25.189784946236564,31.0,76.1,46.0,81.1,11.0
1992-09-01,0.0,22.9,31.5,27.3,34.0,5.0,25.035694444444506,17.5,83.6,45.0,82.9,13.0
1992-10-01,0.0,22.9,31.4,27.4,32.9,4.5,24.988306451612868,45.5,233.2,48.0,82.0,20.0
1992-11-01,0.0,22.5,30.0,26.1,32.0,3.7,24.48000000000003,120.6,474.3,59.0,87.7,18.0
1992-12-01,0.0,22.2,29.2,25.5,31.4,3.4,24.283467741935485,105.7,502.7,60.0,90.3,23.0
1993-01-01,0.0,21.9,29.9,26.2,31.6,5.5,24.335752688172047,37.2,176.4,58.0,85.7,11.0
1993-02-01,0.0,22.7,31.4,26.7,32.7,8.5,24.083035714285725,27.0,69.2,50.0,80.5,8.0
1993-03-01,0.0,22.3,30.7,26.7,32.2,5.4,24.861021505376357,56.9,250.5,56.0,86.3,14.0
1993-04-01,0.0,21.7,31.9,27.6,33.5,6.4,25.485416666666662,56.7,283.9,51.0,84.5,20.0
1993-05-01,0.0,22.5,31.9,28.2,34.2,6.0,25.850403225806456,37.2,129.9,46.0,82.9,10.0
1993-06-01,0.0,22.7,31.9,28.5,33.3,6.2,25.831666666666642,29.4,115.5,50.0,80.9,17.0
1993-07-01,0.0,22.5,31.1,27.9,32.8,5.2,25.6047043010753,46.4,240.0,52.0,83.2,15.0
1993-08-01,0.0,22.0,32.1,28.6,33.9,7.4,25.729032258064557,53.5,106.8,51.0,79.4,11.0
1993-09-01,0.0,22.7,31.7,27.9,33.2,5.9,25.335000000000015,42.0,61.7,45.0,81.4,7.0
1993-10-01,0.0,22.5,31.6,27.5,33.2,5.2,25.365994623655908,62.7,175.5,51.0,84.3,13.0
1993-11-01,0.0,22.7,30.9,26.9,32.5,4.7,25.185555555555542,61.3,250.8,57.0,87.4,18.0
1993-12-01,0.0,22.4,30.3,26.5,32.9,4.2,24.86532258064516,67.6,308.5,57.0,87.4,19.0
1994-01-01,0.0,23.1,30.9,26.9,32.4,6.1,24.5263440860215,17.5,56.9,50.0,82.1,7.0
1994-02-01,0.0,22.6,31.6,27.0,32.5,6.4,24.95297619047617,26.3,133.5,53.0,84.5,15.0
1994-03-01,0.0,22.9,30.5,26.8,32.2,3.5,25.100403225806467,64.2,288.2,55.0,87.1,19.0
1994-04-01,0.0,23.2,31.9,27.9,33.6,5.8,25.803333333333306,46.3,154.0,54.0,84.8,15.0
1994-05-01,0.0,22.6,31.1,28.1,32.6,5.0,26.023655913978498,45.1,169.6,52.0,84.8,16.0
1994-06-01,0.0,22.2,31.3,28.1,33.1,6.0,25.833194444444466,61.1,184.7,55.0,83.5,14.0
1994-07-01,0.0,20.5,31.6,28.4,32.7,7.6,25.54758064516131,17.0,53.8,53.0,78.9,6.0
1994-08-01,0.0,22.5,31.9,28.1,32.9,6.5,25.402419354838692,15.5,45.1,52.0,80.0,12.0
1994-09-01,0.0,22.0,31.9,28.3,34.1,3.8,25.410833333333343,11.3,23.7,37.0,78.7,6.0
1994-10-01,0.0,22.7,32.1,27.9,34.2,4.5,25.294758064516135,35.4,84.7,43.0,81.5,11.0
1994-11-01,0.0,22.4,30.5,26.7,32.5,4.5,25.152638888888923,178.3,322.2,58.0,88.4,21.0
1994-12-01,0.0,22.0,30.7,26.9,32.6,5.3,24.943279569892496,133.8,425.4,58.0,85.5,18.0
1995-01-01,0.0,21.8,30.6,26.8,32.8,5.0,24.957795698924745,108.3,349.4,59.0,86.2,21.0
1995-02-01,0.0,22.6,29.9,26.5,32.4,4.9,24.79925595238093,159.3,334.0,60.0,87.5,16.0
1995-03-01,0.0,23.1,31.8,27.6,33.2,5.9,25.39610215053764,31.1,67.7,54.0,83.9,10.0
1995-04-01,0.0,23.5,32.0,27.9,33.5,5.6,25.946805555555542,73.6,242.3,53.0,85.3,16.0
1995-05-01,0.0,23.2,32.3,28.5,34.0,6.0,26.279301075268855,32.8,84.4,54.0,83.7,11.0
1995-06-01,0.0,24.3,32.7,28.9,34.0,6.6,26.335694444444457,45.0,63.7,51.0,81.9,12.0
1995-07-01,0.0,22.8,31.2,28.0,33.0,5.2,25.652150537634398,52.3,173.6,58.0,82.6,13.0
1995-08-01,0.0,22.8,30.6,27.4,32.4,4.1,25.47271505376344,37.9,211.6,58.0,85.6,21.0
1995-09-01,0.0,22.6,32.0,28.3,33.0,5.8,25.764305555555566,5.7,29.5,51.0,81.6,7.0
1995-10-01,0.0,22.9,32.1,27.8,34.1,4.7,25.463575268817177,37.1,101.1,45.0,82.8,12.0
1995-11-01,0.0,22.5,31.0,27.0,33.3,3.7,25.218611111111137,198.6,372.8,51.0,86.8,20.0
1995-12-01,0.0,22.5,29.5,26.3,32.5,3.1,24.549059139784962,55.6,302.5,58.0,86.6,20.0
1996-01-01,0.0,22.1,30.1,26.2,32.5,5.2,24.08521505376341,39.0,173.2,54.0,84.2,10.0
1996-02-01,0.0,22.3,30.2,26.5,32.0,5.8,24.44942528735632,53.0,180.2,52.0,84.6,11.0
1996-03-01,0.0,22.2,32.4,27.8,34.4,7.7,25.12889784946236,61.8,129.7,50.0,81.0,8.0
1996-04-01,0.0,23.2,31.7,27.8,33.6,5.4,25.838888888888885,55.7,178.2,56.0,85.5,15.0
1996-05-01,0.0,22.9,32.4,28.5,33.3,7.0,26.278494623655934,18.6,107.5,55.0,83.7,15.0
1996-06-01,0.0,22.1,32.0,28.3,33.9,5.9,26.14916666666667,94.3,265.8,56.0,84.3,15.0
1996-07-01,0.0,22.1,31.5,28.3,33.3,6.7,25.853763440860202,55.3,162.3,52.0,81.9,10.0
1996-08-01,0.0,22.3,31.4,27.4,33.1,5.0,25.179032258064545,64.6,258.4,50.0,83.4,18.0
1996-09-01,0.0,22.3,31.1,27.7,33.2,4.8,25.317222222222203,66.5,297.0,52.0,82.2,18.0
1996-10-01,0.0,22.9,31.2,27.5,33.1,4.3,25.179973118279577,45.8,300.0,52.0,83.0,19.0
1996-11-01,0.0,22.4,31.5,27.3,33.6,4.4,25.067777777777792,60.5,180.2,43.0,83.5,16.0
1996-12-01,0.0,22.6,30.7,26.6,33.0,4.5,24.340322580645168,72.4,185.5,55.0,82.9,15.0
1997-01-01,0.0,23.1,31.5,27.1,33.3,7.7,23.99677419354842,13.9,15.4,48.0,77.3,3.0
1997-02-01,0.0,22.3,31.9,27.4,33.7,4.9,24.758482142857176,35.7,105.4,52.0,80.8,8.0
1997-03-01,0.0,23.7,32.8,28.1,34.2,7.0,25.227688172043006,17.4,34.3,44.0,79.6,10.0
1997-04-01,0.0,22.3,32.5,28.1,34.4,5.6,25.682638888888874,44.6,118.4,46.0,82.7,12.0
1997-05-01,0.0,24.7,33.6,29.3,35.1,6.7,26.157526881720447,35.6,41.6,49.0,77.7,6.0
1997-06-01,0.0,23.6,33.2,29.3,34.7,7.3,25.968472222222218,25.0,78.9,49.0,76.7,12.0
1997-07-01,0.0,23.6,32.4,28.8,34.0,6.5,25.52432795698927,5.4,18.6,47.0,76.5,9.0
1997-08-01,0.0,22.0,32.6,28.8,34.0,5.7,25.725268817204245,61.4,86.6,52.0,78.2,9.0
1997-09-01,0.0,24.1,32.2,28.8,33.8,3.2,25.580277777777766,24.3,31.1,43.0,77.0,3.0
1997-10-01,0.0,22.8,32.4,28.2,34.5,3.2,25.561693548387108,36.5,78.4,49.0,81.0,8.0
1997-11-01,0.0,23.5,32.0,27.8,33.7,5.4,25.439722222222237,53.6,158.3,50.0,82.8,13.0
1997-12-01,0.0,23.0,31.3,27.3,32.9,5.3,25.358467741935495,65.8,351.9,50.0,85.3,23.0
1998-01-01,0.0,23.5,31.8,28.0,33.6,7.4,25.736424731182783,79.7,268.8,53.0,83.2,13.0
1998-02-01,0.0,24.3,33.1,28.9,34.6,8.9,25.878273809523836,11.9,32.5,50.0,78.3,5.0
1998-03-01,0.0,24.4,34.1,29.5,36.0,7.6,26.26344086021506,20.9,58.8,47.0,77.8,7.0
1998-04-01,0.0,24.2,33.1,29.2,34.8,6.7,26.697222222222237,64.9,187.7,53.0,81.8,13.0
1998-05-01,0.0,24.5,33.1,29.4,34.8,5.9,26.913978494623645,83.7,370.8,53.0,82.3,18.0
1998-06-01,0.0,22.9,32.4,28.6,34.7,5.3,26.106944444444444,42.8,198.8,50.0,82.1,15.0
1998-07-01,0.0,22.7,31.5,28.1,33.6,5.1,25.640860215053742,55.8,259.2,51.0,81.8,18.0
1998-08-01,0.0,23.2,30.9,27.5,32.8,4.6,25.504435483870985,35.5,195.0,56.0,85.4,18.0
1998-09-01,0.0,22.7,31.1,27.9,33.1,4.5,25.755277777777746,52.0,258.2,47.0,84.1,17.0
1998-10-01,0.0,22.5,31.9,28.0,34.5,5.0,25.591397849462375,32.4,222.7,48.0,82.3,20.0
1998-11-01,0.0,23.4,31.7,27.9,34.1,4.6,25.44875000000003,57.5,107.2,49.0,81.9,11.0
1998-12-01,0.0,22.8,30.4,26.6,32.6,3.1,25.085080645161284,84.4,463.4,55.0,88.5,22.0
1999-01-01,0.0,22.6,30.4,26.6,32.8,3.9,25.054838709677405,52.5,193.9,60.0,88.3,19.0
1999-02-01,0.0,22.0,31.3,27.2,33.0,6.7,24.86636904761905,32.1,67.4,58.0,82.4,9.0
1999-03-01,0.0,22.0,31.5,27.1,33.0,4.3,25.45228494623657,52.4,181.4,56.0,87.5,16.0
1999-04-01,0.0,23.0,32.5,28.3,34.4,5.8,25.886805555555597,29.2,88.5,46.0,82.6,14.0
1999-05-01,0.0,23.7,31.7,28.0,34.2,5.7,25.910618279569874,42.8,157.1,52.0,84.4,13.0
1999-06-01,0.0,21.8,31.8,28.2,33.7,6.0,25.7359722222222,34.5,103.4,54.0,81.9,13.0
1999-07-01,0.0,21.6,31.2,27.8,32.9,6.8,25.402553763440846,51.4,225.4,56.0,82.7,11.0
1999-08-01,0.0,21.9,31.0,27.5,32.9,5.7,25.37244623655915,42.4,204.0,51.0,84.1,13.0
1999-09-01,0.0,22.1,31.9,27.9,33.9,6.5,25.404027777777795,41.5,125.9,50.0,81.7,13.0
1999-10-01,0.0,22.4,31.1,27.2,32.5,4.7,25.10618279569896,32.8,205.0,53.0,84.6,20.0
1999-11-01,0.0,22.9,31.3,27.3,33.4,4.7,25.14402777777779,39.0,241.5,47.0,84.4,19.0
1999-12-01,0.0,22.4,30.6,26.8,33.0,4.1,24.823924731182807,76.9,340.5,56.0,85.3,17.0
2000-01-01,0.0,22.8,29.8,26.3,31.8,4.0,24.637768817204297,127.6,275.2,60.0,86.9,14.0
2000-02-01,0.0,21.7,31.0,26.6,32.4,5.8,24.78534482758619,39.9,237.8,58.0,86.5,18.0
2000-03-01,0.0,20.2,31.9,27.2,34.0,5.8,25.315188172043044,37.9,238.3,44.0,85.8,15.0
2000-04-01,0.0,22.6,31.9,27.5,33.4,5.3,25.55430555555557,87.4,311.6,54.0,85.6,20.0
2000-05-01,0.0,22.6,32.7,28.6,34.2,6.8,26.170698924731187,36.7,96.8,49.0,82.4,10.0
2000-06-01,0.0,22.5,31.1,27.6,33.3,4.6,25.512361111111122,41.7,157.5,53.0,84.3,16.0
2000-07-01,0.0,22.1,31.6,28.1,33.1,6.5,25.746370967741978,34.6,116.1,56.0,82.6,12.0
2000-08-01,0.0,22.2,30.7,27.5,33.3,5.1,25.354569892473126,28.1,113.5,46.0,83.8,18.0
2000-09-01,0.0,23.5,32.1,28.0,34.3,6.2,25.607500000000012,25.7,81.1,48.0,82.2,12.0
2000-10-01,0.0,22.9,31.8,27.8,34.1,4.0,25.331989247311846,38.3,120.9,51.0,82.1,14.0
2000-11-01,0.0,22.9,31.3,27.3,34.2,3.7,25.583194444444455,72.0,385.7,47.0,87.1,21.0
2000-12-01,0.0,23.0,31.0,27.0,32.6,4.2,25.33588709677421,45.8,236.0,60.0,87.6,18.0
2001-01-01,0.0,22.7,30.3,26.5,32.8,4.4,24.856854838709662,125.4,425.8,49.0,87.4,21.0
2001-02-01,0.0,23.0,30.9,27.0,32.4,4.8,24.78809523809522,28.2,86.6,58.0,83.6,11.0
2001-03-01,0.0,22.7,31.8,27.5,33.7,5.4,25.350806451612915,41.1,297.3,50.0,84.5,20.0
2001-04-01,0.0,23.2,31.8,27.7,33.5,5.3,25.864722222222227,68.9,203.3,50.0,86.0,18.0
2001-05-01,0.0,22.4,32.2,28.5,33.5,6.0,26.470564516129045,56.1,164.9,57.0,85.0,12.0
2001-06-01,0.0,21.5,31.4,28.2,33.6,4.9,25.770972222222234,49.6,137.1,49.0,82.5,11.0
2001-07-01,0.0,23.0,32.2,28.4,33.7,8.1,25.788037634408585,44.8,111.3,50.0,80.8,9.0
2001-08-01,0.0,22.8,31.1,28.0,33.7,4.9,25.804973118279563,36.6,158.3,50.0,83.7,14.0
