iter	Passed	Remaining
727	3243	1211
728	3246	1206
729	3248	1201
730	3251	1196
731	3253	1191
732	3255	1185
733	3257	1180
734	3260	1175
735	3262	1170
736	3264	1165
737	3266	1159
738	3269	1154
739	3271	1149
740	3273	1144
741	3276	1139
742	3278	1134
743	3280	1128
744	3283	1123
745	3285	1118
746	3288	1113
747	3290	1108
748	3292	1103
749	3294	1098
750	3296	1093
751	3299	1088
752	3301	1082
753	3303	1077
754	3306	1072
755	3308	1067
756	3311	1062
757	3313	1057
758	3315	1052
759	3317	1047
760	3319	1042
761	3322	1037
762	3324	1032
763	3326	1027
764	3329	1022
765	3331	1017
766	3334	1012
767	3336	1007
768	3338	1002
769	3340	997
770	3343	992
771	3345	988
772	3347	983
773	3349	978
774	3351	973
775	3353	968
776	3356	963
777	3359	958
778	3361	953
779	3364	948
780	3366	944
781	3368	939
782	3371	934
783	3373	929
784	3375	924
785	3377	919
786	3380	914
787	3382	910
788	3385	905
789	3387	900
790	3390	895
791	3392	891
792	3395	886
793	3397	881
794	3399	876
795	3401	871
796	3404	867
797	3406	862
798	3408	857
799	3410	852
800	3412	847
801	3415	843
802	3417	838
803	3419	833
804	3422	829
805	3424	824
806	3426	819
807	3428	814
808	3430	810
809	3433	805
810	3435	800
811	3437	795
812	3439	791
813	3441	786
814	3444	781
815	3446	777
816	3449	772
817	3451	768
818	3454	763
819	3456	758
820	3458	754
821	3460	749
822	3462	744
823	3465	740
824	3467	735
825	3469	730
826	3472	726
827	3474	721
828	3476	717
829	3479	712
830	3482	708
831	3484	703
832	3486	699
833	3488	694
834	3491	689
835	3493	685
836	3495	680
837	3498	676
838	3500	671
839	3502	667
840	3504	662
841	3507	658
842	3509	653
843	3512	649
844	3514	644
845	3516	640
846	3518	635
847	3520	631
848	3522	626
849	3524	622
850	3527	617
851	3529	613
852	3531	608
853	3533	604
854	3535	599
855	3538	595
856	3541	590
857	3543	586
858	3545	581
859	3547	577
860	3550	573
861	3552	568
862	3555	564
863	3557	559
864	3559	555
865	3561	551
866	3563	546
867	3567	542
868	3569	538
869	3571	533
870	3573	529
871	3576	524
872	3578	520
873	3580	516
874	3583	511
875	3585	507
876	3587	503
877	3589	498
878	3591	494
879	3594	490
880	3596	485
881	3599	481
882	3601	477
883	3603	472
884	3605	468
885	3608	464
886	3610	459
887	3613	455
888	3615	451
889	3617	447
890	3619	442
891	3621	438
892	3623	434
893	3626	429
894	3628	425
895	3630	421
896	3632	417
897	3634	412
898	3637	408
899	3639	404
900	3641	400
901	3644	395
902	3646	391
903	3648	387
904	3651	383
905	3653	379
906	3657	374
907	3659	370
908	3661	366
909	3664	362
910	3667	358
911	3670	354
912	3672	349
913	3675	345
914	3677	341
915	3680	337
916	3682	333
917	3686	329
918	3689	325
919	3691	321
920	3694	316
921	3697	312
922	3699	308
923	3702	304
924	3704	300
925	3707	296
926	3709	292
927	3711	287
928	3714	283
929	3716	279
930	3718	275
931	3720	271
932	3723	267
933	3725	263
934	3727	259
935	3730	255
936	3732	250
937	3734	246
938	3736	242
939	3738	238
940	3740	234
941	3742	230
942	3745	226
943	3747	222
944	3748	218
945	3750	214
946	3752	210
