5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,72.0,0.0,806404.0,OFFSHORE,160.0,10823.495,4945.0,AQUIFER DRIVE,5856.3,NEOGENE,3149.61,0.5,20.0,35.0,13000.0,1.5,600.0,41.5
1P ,ASIA-PACIFIC,MEKONG (CUU LONG),22.0,0.0,100000.0,OFFSHORE,266.0,6000.0,4905.678125380549,GAS DRIVE,8530.0,PALEOGENE,1800.0,0.2,15.0,46.0,941.0,0.7,954.0,45.0
1P ,LATIN AMERICA,MARACAIBO,65.0,90.0,189596.0,ONSHORE-OFFSHORE,250.0,10000.0,4130.0,GRAVITY DRAINAGE,9000.0,NEOGENE,530.0,0.8,23.0,29.3,2033.0,0.53,260.0,58.0
1P ,LATIN AMERICA,MARACAIBO,700.0,14.0,176120.0,ONSHORE-OFFSHORE,148.35118457771608,6000.0,2700.0,AQUIFER DRIVE,3560.0,NEOGENE,1000.0,0.6,29.0,24.0,2200.0,2.5,450.0,41.4
1P ,LATIN AMERICA,MARACAIBO,3316.0,13.0,767906.0,ONSHORE-OFFSHORE,120.0,6000.0,300.0,COMPACTION,1000.0,NEOGENE,500.0,0.6,33.0,15.0,18000.0,50.0,500.0,26.0
1P ,LATIN AMERICA,MARACAIBO,22.0,90.0,5000.0,ONSHORE-OFFSHORE,221.4520657824908,6000.0,5574.240847262198,GAS DRIVE,9500.0,PALEOGENE,200.0,0.6,18.0,32.0,1600.0,0.7,500.0,42.0
1P ,AFRICA,ABU GHARADIG,4.0,0.0,5000.0,ONSHORE,228.0,9357.0,4253.0,GAS DRIVE,9344.0,CRETACEOUS,115.0,0.23,16.5,32.1,5.0,0.2,500.0,20.0
1P ,AFRICA,ABU GHARADIG,4.0,0.0,5000.0,ONSHORE,264.0,11401.0,5310.0,GAS DRIVE,11119.0,CRETACEOUS,115.0,0.4,12.0,39.5,38.0,0.18,500.0,24.0
1P ,AFRICA,ABU GHARADIG,3.0,0.0,16500.0,ONSHORE,262.0,11447.0,5329.0,AQUIFER DRIVE,11135.0,CRETACEOUS,274.0,0.75,14.0,37.0,190.0,0.18,500.0,46.0
1P ,AFRICA,ABU GHARADIG,3.0,360.0,5000.0,ONSHORE,228.0,9370.0,4732.0,GAS DRIVE,12795.0,CRETACEOUS,39.0,0.77,22.0,42.0,13.0,3.3,852.0,31.0
1P ,AFRICA,GULF OF SUEZ,22.0,60.0,35981.0,OFFSHORE,162.0,6000.0,2630.0,GAS DRIVE,5150.0,NEOGENE,285.0,0.55,24.0,27.0,386.0,0.7,317.0,40.9
