5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,NORTH AMERICA,WILLISTON,40.0,160.0,6418.0,ONSHORE,251.0,8125.0,4800.0,AQUIFER DRIVE,7903.0,DEVONIAN,151.0,0.4,13.0,40.5,230.0,0.23,1072.0,32.6
1P ,NORTH AMERICA,WILLISTON,196.0,40.0,10868.0,ONSHORE,151.0,6100.0,3821.0,AQUIFER DRIVE,6160.0,CARBONIFEROUS,120.0,0.4,6.0,43.0,175.2,0.23,1175.0,32.5
1P ,MIDDLE EAST,THE GULF,42.0,250.0,434000.0,OFFSHORE,197.7619654,5000.0,3980.0,AQUIFER DRIVE,7650.0,JURASSIC,60.0,0.71,17.0,38.0,8300.0,0.6,140.0,41.0
1P ,MIDDLE EAST,ZAGROS,145.0,0.0,441782.0,ONSHORE,171.0,5000.0,2878.0,AQUIFER DRIVE,1150.0,NEOGENE/PALEOGENE,1600.0,0.42,9.0,30.5,14500.0,1.3,530.0,31.5
1P ,NORTH AMERICA,WILLISTON,103.0,160.0,28921.0,ONSHORE,255.0,5000.0,4650.0,AQUIFER DRIVE,6800.0,CARBONIFEROUS,60.0,0.4,17.0,40.0,335.0,0.34,800.0,19.0
1P ,ASIA-PACIFIC,SUNDA,60.0,100.0,18478.0,OFFSHORE,153.0,2550.0,1147.0,AQUIFER DRIVE,2400.0,NEOGENE,60.0,0.54,32.0,22.0,718.0,21.5,150.0,14.3
1P ,NORTH AMERICA,ANADARKO,44.0,40.0,953.0,ONSHORE,117.0,2082.0,1300.0,AQUIFER DRIVE,2180.0,CARBONIFEROUS,50.0,0.4,15.0,38.0,2300.0,3.35,11.0,30.0
1P ,MIDDLE EAST,SOUTH OMAN SALT,6.0,250.0,68000.0,ONSHORE,207.9763983,5000.0,7701.0,GAS DRIVE,7660.0,CAMBRIAN,148.0,0.4,11.6,32.0,164.0,0.65,1515.0,36.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,81.0,160.0,9060.0,ONSHORE,243.0,7835.0,4020.0,AQUIFER DRIVE,7570.0,CRETACEOUS,60.0,0.54,15.6,42.0,105.4,0.4,975.0,46.0
1P ,NORTH AMERICA,GREAT,7.0,25.0,1643.0,ONSHORE,250.0,1900.0,3233.0,AQUIFER DRIVE,1350.0,DEVONIAN,590.0,0.4,5.3,27.0,2300.0,0.4,500.0,30.0
