1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
DONGARA,DONGARA,1P ,AUSTRALIA,ASIA-PACIFIC,PERTH,-29.25,114.9,GAS-CONDENSATE,2007.0,PRIMARY RECOVERY,MATURE,19.00,250.0,15545.0,ONSHORE,-140.0,193.0,2457.0,GAS DRIVE,112:TRANSPRESSIONAL ANTICLINE,5130.0,4990.0,4.0,512.0,PERMIAN,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,139.0,0.95,,SANDSTONE,MEDIUM-GRAINED SAND/COARSE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,20.0,230.0,35.0,1.92,0.0,0.9,326.0,70.0,1.18,2470.0,20000.0,15.0,194.0,2.5,2.5,86.0,,,,,,,,,,
DONGFANG 1-1,YINGGEHAI,1P ,CHINA,ASIA-PACIFIC,YINGGEHAI,18.6146,107.9364,GAS,2007.0,PRIMARY RECOVERY,PEAK OR PLATEAU,32.00,0.0,36440.62,OFFSHORE,220.0,158.0,2387.0,GAS DRIVE,1152:SHALE-DIAPIR ANTICLINE,3717.0,3937.0,5.0,630.0,NEOGENE,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,,0.6,93.88,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,24.0,27.0,51.0,0.82,0.03,14.7,,2.3,,,33269.0,48.3,513.99,,,70.3,,,DRILLING/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/EXTENDED REACH WELL,,,,SAND SCREEN,SIDETRACKING/WATER CONING CONTROL,5151.0
DONGSHENGPU,ANSHAN,1P ,CHINA,ASIA-PACIFIC,BOHAI,41.7941,122.75,OIL,2009.0,SECONDARY RECOVERY,DECLINE,38.00,30.0,,ONSHORE,-60.0,214.0,4307.0,AQUIFER DRIVE,2212:PALEOSTRUCTURAL SUBCROP,8590.0,8530.0,22.0,1575.0,ARCHEAN,31:BASEMENT,TANK LIKE, NON-FRACTURED ZONE,,,74.98,OTHERS,,,TYPE I,FRACTURE,0.0,,34.0,5.34,30.3,0.0,253.0,,1.19,1320.0,4000.0,31.0,110.2,,38.0,,CONTINUOUS WATER INJECTION/CYCLIC WATER INJECTION,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),MODIFICATION IN INJECTION PATTERN,ROD PUMP/HYDRAULIC PISTON PUMP,,DEPRESSURIZATION/HIGH WATER-CUT WELL SHUT-IN/INTERMITTENT WATER INJECTION/PROFILE MODIFICATION/RE-COMPLETION/RE-PERFORATION/SCALE REMOVAL/SELECTIVE PERFORATION/WATER CONING CONTROL/WATER PLUGGING,9595.0
DONGXIN,SHAHEJIE,1P ,CHINA,ASIA-PACIFIC,BOHAI,37.4833,118.5499,OIL,2002.0,SECONDARY RECOVERY,DECLINE,1277.00,17.0,62500.0,ONSHORE,-16.0,173.02580862074188,3115.0,GAS DRIVE,113:INVERSION ANTICLINE,5590.0,5580.0,5.0,,PALEOGENE,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALELATERAL SHALE-OUT,,0.2,37.8,SANDSTONE,FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,27.0,1200.0,25.0,8.0,10.0,0.92,220.0,,,1600.0,35000.0,20.0,1754.0,,35.0,,CONTINUOUS WATER INJECTION,CHEMICAL,DRILLING/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,,,ESP,SAND SCREEN,RE-PERFORATION/WATER PLUGGING,
DOUGLAS,ORMSKIRK SANDSTONE,1P ,UNITED KINGDOM,EUROPE,IRISH SEA EAST,53.5291,-3.5651,OIL,2006.0,SECONDARY RECOVERY,DECLINE,11.00,0.0,34559.0,OFFSHORE,110.0,86.0,1125.0,AQUIFER DRIVE,1211:TILTED FAULT-BLOCK,2030.0,2140.0,13.0,370.0,TRIASSIC,22:DESERT,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE/TAR MATNONE,650.0,0.9,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,SUBLITHARENITE,,PRIMARY INTERGRANULAR,16.0,400.0,44.0,,0.0,0.5,170.0,,1.08,,270000.0,,202.0,,50.0,,CONTINUOUS WATER INJECTION/GAS RECYCLING,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,,ESP,,STEP-OUT DEVELOPMENT DRILLING,2240.0
DRAKE POINT,DRAKE POINT-INTREPID INLET,3P ,CANADA,NORTH AMERICA,SVERDRUP,76.4462,-108.9172,GAS,2008.0,DEVELOPMENT PENDING,,,0.0,,ONSHORE-OFFSHORE,0.0,85.0,1780.0,GAS DRIVE,1112:FORELAND ANTICLINE,3300.0,3300.0,3.0,686.0,JURASSIC,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALESEALING FAULT,140.0,0.47,19.81,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,20.0,800.0,0.0,,0.0,0.6,,,,,,25.0,997.2,,,87.0,,,,,,,,,,3986.0
DRAUGEN,ROGN,1P ,NORWAY,EUROPE,MID-NORWAY SHELF,64.3655,7.7891,OIL,2012.0,SECONDARY RECOVERY,DECLINE,14.00,1111.97,,OFFSHORE,820.21,154.4,2392.98,AQUIFER DRIVE,1212:HORST BLOCK,4416.01,5236.22,0.5,137.8,JURASSIC,24:COASTAL,TANK LIKE, SEALING FAULT,,,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,30.0,3546.37,40.0,0.74,0.0,0.0,331.26,,,717.94,37500.0,,,,54.4,,CONTINUOUS WATER INJECTION,,DRILLING/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,SCALE INHIBITOR TREATMENT,,GAS LIFT,GRAVEL PACK,PUMP SIZE OPTIMIZATION/SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING,5374.02
DUKHAN,ARAB C,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001.0,SECONDARY RECOVERY,SECONDARY DECLINE,,250.0,335000.0,ONSHORE,-66.0,194.0,2915.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,5297.0,5231.0,9.0,1289.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATLATERAL FACIES CHANGE,84.0,0.19,4.57,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,18.0,30.0,37.0,0.6,0.0,0.0,735.0,,1.4,,220000.0,20.0,4600.0,,38.2,,CONTINUOUS WATER INJECTION/DUMP FLOOD,,DRILLING/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,,,GAS LIFT,,,5600.0
DUKHAN,ARAB D,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001.0,SECONDARY RECOVERY,SECONDARY DECLINE,,250.0,335000.0,ONSHORE,-66.0,207.0,3263.0,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,5439.0,5373.0,9.0,1327.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATLATERAL FACIES CHANGE,231.0,0.52,36.58,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,22.0,70.0,42.0,0.4,0.0,1.05,1070.0,,1.67,3160.0,,20.0,15666.67,,42.7,,CONTINUOUS WATER INJECTION/DUMP FLOOD,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/SCALE INHIBITOR TREATMENT,,GAS LIFT,,GAS CONING CONTROL/SIDETRACKING/WATER CONING CONTROL,6251.5
DUKHAN,UWAINAT,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001.0,SECONDARY RECOVERY,SECONDARY DECLINE,,0.0,,ONSHORE,-66.0,219.0,3520.0,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,6721.0,6655.0,9.0,591.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATSEALING FAULT,120.0,0.63,22.86,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,18.0,15.0,42.5,0.25,0.0,0.0,1060.0,,1.62,3506.0,,30.0,600.0,,30.0,,,,DRILLING/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,,,GAS LIFT,,,7050.0
DULANG,BEKOK (GROUP D-F),1P ,MALAYSIA,ASIA-PACIFIC,MALAY,5.8283,104.1961,OIL,2004.0,ENHANCED OIL RECOVERY,PEAK OR PLATEAU,118.00,120.0,76800.0,OFFSHORE,250.0,205.0,1665.0,GAS DRIVE,113:INVERSION ANTICLINE,3360.0,3610.0,5.0,330.0,NEOGENE,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALELATERAL FACIES CHANGE/LATERAL SHALE-OUT,1800.0,,,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,30.0,200.0,39.0,0.85,20.0,0.0,400.0,,1.28,1550.0,,34.0,1083.0,,38.0,,CONTINUOUS WATER INJECTION/GAS RECYCLING,MISCIBLE,DRILLING/SAND CONTROL,INFILL WELL/HORIZONTAL WELL,,,,GRAVEL PACK,,4174.5
DUNBAR,BRENT,1P ,UNITED KINGDOM,EUROPE,NORTH SEA NORTHERN,60.6,1.65,OIL,2006.0,SECONDARY RECOVERY,DECLINE,26.00,400.0,53933.0,OFFSHORE,475.72,266.0,8267.0,AQUIFER DRIVE,2212:PALEOSTRUCTURAL SUBCROP,10351.05,10826.77,8.0,1214.0,JURASSIC,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE/COALLATERAL SHALE-OUT/SEALING FAULT,500.0,0.75,,SANDSTONE,MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,15.0,43.0,43.0,0.12,0.0,0.0,2800.0,,,5439.0,21000.0,17.0,846.0,,29.0,49.0,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE)/SCALE INHIBITOR TREATMENT,SELECTIVE INJECTION,,,SIDETRACKING,11975.0
DUNE,GRAYBURG,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,PERMIAN,31.5521,-102.4349,OIL,2011.0,SECONDARY RECOVERY,MATURE,1225.00,10.0,32073.0,ONSHORE,-2900.0,88.0,1506.0,GAS DRIVE,2111:LATERAL FACIES CHANGE,3300.0,400.0,5.0,800.0,PERMIAN,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE/EVAPORITELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,300.0,,24.38,CARBONATES,GRAINSTONE,CRINOID/PELOID,,INTERPARTICLE/INTERCRYSTALLINE,13.0,11.0,34.0,2.92,0.0,0.0,384.0,,1.13,,41.5,25.0,978.0,,21.0,,CONTINUOUS WATER INJECTION,,DRILLING/ARTIFICIAL LIFT,INFILL WELL,,,ROD PUMP,,,400.0
DUNLIN,BRENT,1P ,UNITED KINGDOM,EUROPE,NORTH SEA NORTHERN,61.2667,1.6,OIL,2006.0,SECONDARY RECOVERY,MATURE,41.00,80.0,115384.0,OFFSHORE,495.0,210.0,6020.0,AQUIFER DRIVE,2212:PALEOSTRUCTURAL SUBCROP,8005.0,8500.0,2.5,705.0,JURASSIC,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALELATERAL FACIES CHANGE/SEALING FAULT,450.0,,,SANDSTONE,MEDIUM-GRAINED SAND,SUBARKOSE,,PRIMARY INTERGRANULAR,23.0,100.0,35.0,1.73,0.0,0.0,220.0,,1.13,960.0,24000.0,40.0,827.0,,47.0,,CONTINUOUS WATER INJECTION,,DRILLING/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,,,ADDITIONAL PERFORATION/SELECTIVE PERFORATION,9000.0
DURI,SIHAPAS,1P ,INDONESIA,ASIA-PACIFIC,SUMATRA CENTRAL,1.2956,101.2304,OIL,2011.0,ENHANCED OIL RECOVERY,SECONDARY DECLINE,,11.63,300000.0,ONSHORE,-120.0,100.94,267.0,AQUIFER DRIVE,112:TRANSPRESSIONAL ANTICLINE,400.0,280.0,,370.0,NEOGENE,24:COASTAL,LAYER-CAKE,SHALESEALING FAULT,500.0,,76.2,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND/COARSE-GRAINED SAND,SUBARKOSE/SUBLITHARENITE,,PRIMARY INTERGRANULAR,34.0,1500.0,20.0,150.0,12.0,0.0,15.0,,1.02,175.0,,45.0,,9.0,60.0,,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,MODIFICATION IN INJECTION PATTERN,ROD PUMP,GRAVEL PACK/SLOTTED LINER/PRE-PACKED SAND SCREEN/FRAC PACK,COILED TUBING TREATMENT/PUMP SIZE OPTIMIZATION/RE-PERFORATION/SAND CLEANING/SCALE REMOVAL/STEAM INJECTION OPTIMIZATION,640.09
DZHIGALYBEG,RED SERIES,1P ,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,39.52,53.2,OIL,2006.0,DEVELOPING,DEVELOPING,,0.0,,OFFSHORE,69.0,145.0,6815.0,AQUIFER DRIVE,1111:THRUST ANTICLINE,10101.0,10170.0,26.0,,NEOGENE,23:LACUSTRINE,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,8200.0,0.25,,SANDSTONE,FINE-GRAINED SAND,FELDSPATHIC LITHARENITE,,PRIMARY INTERGRANULAR,18.0,100.0,33.0,0.7,26.0,0.55,,24.0,,,,35.0,385.0,,36.4,43.4,,,OTHER RESERVOIR MANAGEMENT,,,,,,WAX REMOVAL,10700.0
EAGLE FORD SHALE PLAY,EAGLE FORD,2P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,28.2747,-99.1001,GAS,2011.0,DEVELOPING,DEVELOPING,252.00,320.0,93600.0,ONSHORE,-400.0,285.0,8350.0,GAS DRIVE,252:ORGANIC-RICH SHALE,4400.0,4000.0,2.0,,CRETACEOUS,25:DEEP MARINE,,BLOCK-BOUNDING FAULT,230.0,1.0,60.96,OTHERS,,,TYPE III,MICROPOROSITY,9.0,0.0,41.5,,0.0,0.0,,200.0,,,,12.0,37670.0,,,30.0,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (MULTI-STAGE),,,,COILED TUBING TREATMENT/SELECTIVE PERFORATION,10875.0
