_id,total_rainfall,month
149,169.6,1994-05
148,154,1994-04
147,288.2,1994-03
146,133.5,1994-02
145,56.9,1994-01
144,308.5,1993-12
143,250.8,1993-11
142,175.5,1993-10
141,61.7,1993-09
140,106.8,1993-08
139,240,1993-07
138,115.5,1993-06
137,129.9,1993-05
136,283.9,1993-04
135,250.5,1993-03
134,69.2,1993-02
133,176.4,1993-01
132,502.7,1992-12
131,474.3,1992-11
130,233.2,1992-10
129,83.6,1992-09
128,76.1,1992-08
127,290.8,1992-07
126,162.8,1992-06
125,63.1,1992-05
124,160.3,1992-04
123,67.6,1992-03
122,62.4,1992-02
121,83.9,1992-01
120,492.3,1991-12
119,205,1991-11
118,52,1991-10
117,123.1,1991-09
116,226.2,1991-08
115,37.3,1991-07
114,88.7,1991-06
113,256.4,1991-05
112,134.2,1991-04
111,92.4,1991-03
110,45.5,1991-02
109,123.9,1991-01
108,201.1,1990-12
107,180.4,1990-11
106,56.4,1990-10
105,204.5,1990-09
104,146.6,1990-08
103,124,1990-07
102,112.6,1990-06
101,180.1,1990-05
100,52.4,1990-04
99,94.2,1990-03
98,24.1,1990-02
97,147.4,1990-01
96,179.7,1989-12
95,508.4,1989-11
94,111,1989-10
93,247.3,1989-09
92,201,1989-08
91,157.6,1989-07
90,117.6,1989-06
89,194,1989-05
88,198.6,1989-04
87,305.9,1989-03
86,52.4,1989-02
85,189.7,1989-01
84,62.9,1988-12
83,401.4,1988-11
82,134.6,1988-10
81,440.4,1988-09
80,80.1,1988-08
79,305.4,1988-07
78,252.2,1988-06
77,229.6,1988-05
76,109.6,1988-04
75,186.8,1988-03
74,158.1,1988-02
73,237.5,1988-01
72,72.8,1987-12
71,347.6,1987-11
70,22.6,1987-10
69,129.9,1987-09
68,191.9,1987-08
67,80.9,1987-07
66,126.6,1987-06
65,270,1987-05
64,72.5,1987-04
63,132.5,1987-03
62,86.9,1987-02
61,568.6,1987-01
60,367.2,1986-12
59,256.7,1986-11
58,227.3,1986-10
57,396,1986-09
56,72.9,1986-08
55,109.7,1986-07
54,122.9,1986-06
53,145.1,1986-05
52,150,1986-04
51,353.4,1986-03
50,26.7,1986-02
49,308.2,1986-01
48,340.1,1985-12
47,179.4,1985-11
46,169,1985-10
45,110.7,1985-09
44,56.9,1985-08
43,131.8,1985-07
42,37,1985-06
41,70.1,1985-05
40,110.5,1985-04
39,88,1985-03
38,79.3,1985-02
37,111.1,1985-01
36,277.4,1984-12
35,127.7,1984-11
34,187.5,1984-10
33,186.7,1984-09
32,102.7,1984-08
31,127.2,1984-07
30,255,1984-06
29,186.5,1984-05
28,153.1,1984-04
27,361.3,1984-03
26,470.4,1984-02
25,251.2,1984-01
24,370.6,1983-12
23,228.8,1983-11
22,212.7,1983-10
21,170.8,1983-09
20,262.2,1983-08
19,190,1983-07
18,94,1983-06
17,160.8,1983-05
16,33.6,1983-04
15,18.6,1983-03
14,5.6,1983-02
13,246,1983-01
12,494.1,1982-12
11,134,1982-11
10,39.3,1982-10
9,54.1,1982-09
8,169.5,1982-08
7,76.3,1982-07
6,59.5,1982-06
5,102.2,1982-05
4,157,1982-04
3,160.8,1982-03
2,27.8,1982-02
1,107.1,1982-01
