max_temperature,_id,month
33.9,174,1996-06
33.3,173,1996-05
33.6,172,1996-04
34.4,171,1996-03
32,170,1996-02
32.5,169,1996-01
32.5,168,1995-12
33.3,167,1995-11
34.1,166,1995-10
33,165,1995-09
32.4,164,1995-08
33,163,1995-07
34,162,1995-06
34,161,1995-05
33.5,160,1995-04
33.2,159,1995-03
32.4,158,1995-02
32.8,157,1995-01
32.6,156,1994-12
32.5,155,1994-11
34.2,154,1994-10
34.1,153,1994-09
32.9,152,1994-08
32.7,151,1994-07
33.1,150,1994-06
32.6,149,1994-05
33.6,148,1994-04
32.2,147,1994-03
32.5,146,1994-02
32.4,145,1994-01
32.9,144,1993-12
32.5,143,1993-11
33.2,142,1993-10
33.2,141,1993-09
33.9,140,1993-08
32.8,139,1993-07
33.3,138,1993-06
34.2,137,1993-05
33.5,136,1993-04
32.2,135,1993-03
32.7,134,1993-02
31.6,133,1993-01
31.4,132,1992-12
32,131,1992-11
32.9,130,1992-10
34,129,1992-09
33.6,128,1992-08
33.5,127,1992-07
33.6,126,1992-06
34.1,125,1992-05
34.6,124,1992-04
34.7,123,1992-03
33.1,122,1992-02
31.8,121,1992-01
31.5,120,1991-12
32.6,119,1991-11
33.4,118,1991-10
32.5,117,1991-09
33.6,116,1991-08
34,115,1991-07
33.6,114,1991-06
33.2,113,1991-05
34.1,112,1991-04
34,111,1991-03
33.5,110,1991-02
33.1,109,1991-01
31.8,108,1990-12
34,107,1990-11
33.3,106,1990-10
33.3,105,1990-09
33.9,104,1990-08
33.5,103,1990-07
33.8,102,1990-06
34.6,101,1990-05
35,100,1990-04
34.7,99,1990-03
34,98,1990-02
32.1,97,1990-01
32,96,1989-12
32.8,95,1989-11
32.9,94,1989-10
32.7,93,1989-09
33.3,92,1989-08
32.7,91,1989-07
33.2,90,1989-06
33.3,89,1989-05
34.5,88,1989-04
32.5,87,1989-03
33.3,86,1989-02
32.8,85,1989-01
31.6,84,1988-12
32.8,83,1988-11
34.5,82,1988-10
33.3,81,1988-09
32.7,80,1988-08
33.8,79,1988-07
33.6,78,1988-06
34.2,77,1988-05
33.7,76,1988-04
34.7,75,1988-03
33.8,74,1988-02
33.1,73,1988-01
32.8,72,1987-12
33.3,71,1987-11
33.7,70,1987-10
33.6,69,1987-09
33.8,68,1987-08
33.7,67,1987-07
33.5,66,1987-06
33.2,65,1987-05
34.6,64,1987-04
33.3,63,1987-03
33,62,1987-02
31.4,61,1987-01
32,60,1986-12
32.8,59,1986-11
32.6,58,1986-10
32.4,57,1986-09
34.2,56,1986-08
33.2,55,1986-07
33.2,54,1986-06
33.4,53,1986-05
32.8,52,1986-04
32.7,51,1986-03
33.2,50,1986-02
31.4,49,1986-01
32.4,48,1985-12
33,47,1985-11
33.4,46,1985-10
32.5,45,1985-09
33,44,1985-08
33.3,43,1985-07
35,42,1985-06
33.6,41,1985-05
34.2,40,1985-04
33.3,39,1985-03
33.7,38,1985-02
33,37,1985-01
32.2,36,1984-12
32.7,35,1984-11
33.4,34,1984-10
32.4,33,1984-09
32.8,32,1984-08
33,31,1984-07
32.7,30,1984-06
32.9,29,1984-05
32.7,28,1984-04
32.8,27,1984-03
31.5,26,1984-02
31.7,25,1984-01
31.3,24,1983-12
32.6,23,1983-11
33.7,22,1983-10
32.8,21,1983-09
32.7,20,1983-08
33,19,1983-07
33.6,18,1983-06
34,17,1983-05
35.8,16,1983-04
35.8,15,1983-03
34.6,14,1983-02
32.1,13,1983-01
33,12,1982-12
34.3,11,1982-11
33.8,10,1982-10
33.2,9,1982-09
33.2,8,1982-08
33,7,1982-07
33.3,6,1982-06
32.9,5,1982-05
33.2,4,1982-04
34.3,3,1982-03
34.3,2,1982-02
31.9,1,1982-01
