mean_sunshine_hrs,_id,month
6,91,1989-07
6,90,1989-06
5.2,89,1989-05
5.7,88,1989-04
4.5,87,1989-03
6.7,86,1989-02
5.8,85,1989-01
5.7,84,1988-12
3.7,83,1988-11
4.1,82,1988-10
4.8,81,1988-09
4.9,80,1988-08
6,79,1988-07
6.5,78,1988-06
5.6,77,1988-05
5.4,76,1988-04
5.2,75,1988-03
6.7,74,1988-02
5.9,73,1988-01
4.8,72,1987-12
4.5,71,1987-11
5.8,70,1987-10
5.4,69,1987-09
5.1,68,1987-08
6.7,67,1987-07
6.8,66,1987-06
5.6,65,1987-05
6.2,64,1987-04
6.9,63,1987-03
9.2,62,1987-02
4,61,1987-01
5.4,60,1986-12
4.5,59,1986-11
5,58,1986-10
4.8,57,1986-09
5.6,56,1986-08
6.2,55,1986-07
6.8,54,1986-06
6.1,53,1986-05
6.2,52,1986-04
4.6,51,1986-03
7.2,50,1986-02
3.9,49,1986-01
4.6,48,1985-12
4.1,47,1985-11
4.1,46,1985-10
5,45,1985-09
6.2,44,1985-08
5.3,43,1985-07
5.8,42,1985-06
5.7,41,1985-05
5.5,40,1985-04
5.6,39,1985-03
6.5,38,1985-02
8.7,37,1985-01
3.3,36,1984-12
4.3,35,1984-11
5.3,34,1984-10
4.9,33,1984-09
6,32,1984-08
5.7,31,1984-07
5.4,30,1984-06
6.4,29,1984-05
6.2,28,1984-04
5.3,27,1984-03
4.1,26,1984-02
4.1,25,1984-01
2.7,24,1983-12
3.2,23,1983-11
5.2,22,1983-10
3.8,21,1983-09
6.3,20,1983-08
5.4,19,1983-07
5.9,18,1983-06
5.9,17,1983-05
6.6,16,1983-04
8.9,15,1983-03
9.3,14,1983-02
4.3,13,1983-01
3.3,12,1982-12
5.8,11,1982-11
5.6,10,1982-10
5.2,9,1982-09
5.4,8,1982-08
7.6,7,1982-07
7.3,6,1982-06
5.8,5,1982-05
4.7,4,1982-04
5.1,3,1982-03
7.6,2,1982-02
5.6,1,1982-01
