1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
KF,LOWER GABUS,1P ,INDONESIA,ASIA-PACIFIC,NATUNA WEST,4.9,106.0,OIL,2003.0,SECONDARY RECOVERY,MATURE,14.00,0.0,35610.0,OFFSHORE,300.0,167.0,1503.0,AQUIFER DRIVE,113:INVERSION ANTICLINE,2350.0,2650.0,8.5,1050.0,PALEOGENE,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,1500.0,,9.45,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,21.0,85.0,51.0,0.39,0.0,0.0,711.0,,1.41,1362.0,,44.0,241.0,,23.0,71.0,GAS RECYCLING,,,,,,,,,3250.0
KG,GABUS-KERAS-BARAT-PASIR-ARANG,1P ,INDONESIA,ASIA-PACIFIC,NATUNA WEST,4.9977,106.0342,OIL,2003.0,PRIMARY RECOVERY,DECLINE,5.00,0.0,21069.0,OFFSHORE,300.0,217.0,2506.0,AQUIFER DRIVE,113:INVERSION ANTICLINE,2600.0,2900.0,9.0,2700.0,NEOGENE/PALEOGENE,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,5800.0,0.24,57.3,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,23.0,180.0,46.0,0.48,0.0,0.0,550.0,,1.4,1790.0,,,42.5,62.0,62.0,,,,DRILLING/ARTIFICIAL LIFT,EXTENDED REACH WELL,,,GAS LIFT,,,5700.0
KHAFJI,BURGAN,1P ,KUWAIT-SAUDI ARABIA,MIDDLE EAST,THE GULF,28.5333,48.9167,OIL,1997.0,SECONDARY RECOVERY,SECONDARY DECLINE,180.00,32.0,511592.0,OFFSHORE,75.0,159.9193374956434,2690.018578575188,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,4525.0,4600.0,4.0,700.0,CRETACEOUS,24:COASTAL,LAYER-CAKE, LATERAL FACIES CHANGE/LATERAL SHALE-OUT,650.0,,100.28,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,25.0,2100.0,28.5,5.0,0.0,0.0,220.0,,1.15,1000.0,75000.0,,27000.0,,33.3,,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/ACID FRACTURING,,GAS LIFT,PRE-PACKED SAND SCREEN,FLOWING RATE CONTROL/HIGH WATER-CUT WELL SHUT-IN/INTERMITTENT PRODUCTION OF HIGH WATER-CUT WELLS/SIDETRACKING/WATER CONING CONTROL/WATER PLUGGING,
KHALDA,BAHARIYA (LOWER),1P ,EGYPT,AFRICA,MATRUH-SHUSHAN,30.8,26.75,OIL,2000.0,SECONDARY RECOVERY,DECLINE,,116.0,5000.0,ONSHORE,-250.0,195.0,2550.0,GAS DRIVE,112:TRANSPRESSIONAL ANTICLINE,5850.0,5600.0,4.0,230.0,CRETACEOUS,24:COASTAL,LAYER-CAKE,SHALELATERAL FACIES CHANGE/SEALING FAULT,100.0,,10.67,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,QUARTZ ARENITE,,SECONDARY INTERGRANULAR,20.5,70.0,38.0,6.5,6.4,0.0,16.0,,1.1,140.0,125700.0,37.5,113.5,3.0,23.3,,CONTINUOUS WATER INJECTION,,ARTIFICIAL LIFT,,,,ESP,,,5700.0
KHARYAGA,OBJECTIVE 1,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,TIMAN-PECHORA,67.1736,56.6914,OIL,2011.0,ENHANCED OIL RECOVERY,DEVELOPING,224.00,0.0,68493.0,ONSHORE,-1076.12,190.0,6500.0,AQUIFER DRIVE,113:INVERSION ANTICLINE,9074.8,7998.69,,,DEVONIAN,24:COASTAL,JIGSAW-PUZZLE,SHALELATERAL FACIES CHANGE/LATERAL SHALE-OUT,410.0,,,SANDSTONE,COARSE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,9.5,110.0,0.0,15.0,0.0,0.0,905.0,,,3185.0,149000.0,,,,,,GAS INJECTION,THERMAL,,,,,,,,11430.0
KHARYAGA,OBJECTIVES 4-6,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,TIMAN-PECHORA,67.1736,56.6914,OIL,2011.0,PRIMARY RECOVERY,DEVELOPING,224.00,0.0,68493.0,ONSHORE,-1076.12,167.9801249012204,2440.0,AQUIFER DRIVE,113:INVERSION ANTICLINE,5180.0,4101.05,,,TRIASSIC/PERMIAN,24:COASTAL,JIGSAW-PUZZLE,SHALELATERAL FACIES CHANGE/LATERAL SHALE-OUT,,,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
KINABALU,STAGES IVD-IVF (KINABALU MAIN),1P ,MALAYSIA,ASIA-PACIFIC,SABAH,5.4296,114.6992,OIL,2003.0,SECONDARY RECOVERY,DECLINE,15.00,0.0,33300.0,OFFSHORE,179.0,166.6387114245671,3689.0,GAS DRIVE,1181:ROLLOVER ANTICLINE,5071.0,5250.0,8.0,,NEOGENE,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,5350.0,,446.84,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,22.0,280.0,35.5,,0.6,0.0,650.0,,,,13000.0,,500.0,21.0,36.0,,CONTINUOUS WATER INJECTION/GAS INJECTION,,DRILLING,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,,,,,,
KINGFISH,LATROBE,1P ,AUSTRALIA,ASIA-PACIFIC,GIPPSLAND,-38.5981,148.2083,OIL,2001.0,PRIMARY RECOVERY,MATURE,54.00,160.0,272000.0,OFFSHORE,253.0,215.0,3303.0,AQUIFER DRIVE,2212:PALEOSTRUCTURAL SUBCROP,7040.0,7293.0,2.0,270.0,PALEOGENE,24:COASTAL,LAYER-CAKE,SHALENONE,,0.75,36.58,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,21.0,3000.0,47.0,2.15,23.7,2.04,363.0,,1.27,853.0,11200.0,20.0,,,59.0,,,,DRILLING/ARTIFICIAL LIFT,INFILL WELL,,,GAS LIFT,,,7500.0
KINGFISHER,ZONE 2,2P ,UGANDA,AFRICA,ALBERT,1.189,30.724,OIL,2012.0,DEVELOPMENT PENDING,,,0.0,,ONSHORE-OFFSHORE,-2030.0,189.76271071476435,3445.0,AQUIFER DRIVE,1213:NORMAL-FAULT HANGING WALL,6950.0,4920.0,8.0,1350.0,NEOGENE,23:LACUSTRINE,LAYER-CAKE,SHALELATERAL SHALE-OUT,330.0,0.34,33.83,SANDSTONE,MEDIUM-GRAINED SAND,LITHIC ARKOSE,,PRIMARY INTERGRANULAR,23.0,1769.0,31.0,,0.0,0.0,235.0,,1.15,,30.0,,600.0,33.0,33.0,,,,OTHER RESERVOIR MANAGEMENT,,,,,,SIDETRACKING,
KITTY,MUDDY,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,POWDER RIVER,44.3344,-105.6783,OIL,2011.0,PRIMARY RECOVERY,SECONDARY MATURE,364.00,80.0,,ONSHORE,-4600.0,184.0,4397.0,GAS DRIVE,2242:VALLEY-FILL,8563.0,3963.0,1.0,700.0,CRETACEOUS,21:FLUVIAL,JIGSAW-PUZZLE,SHALELATERAL SHALE-OUT,80.0,0.6,3.66,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,10.0,22.0,40.0,,0.0,0.0,1050.0,,1.4,,3000.0,20.0,,,,,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,,,SELECTIVE PERFORATION/STEP-OUT DEVELOPMENT DRILLING,
KIZOMBA,MALEMBO,1P ,ANGOLA,AFRICA,LOWER CONGO,-6.1625,10.3083,OIL,2008.0,SECONDARY RECOVERY,DEVELOPING,,0.0,701093.74,OFFSHORE,3608.92,134.51407383693956,1499.1981936133072,AQUIFER DRIVE,111:COMPRESSIONAL ANTICLINE,2460.63,6069.55,37.5,2296.59,NEOGENE,25:DEEP MARINE,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALELATERAL FACIES CHANGE/SHALE-FILLED CHANNEL,574.15,,,SANDSTONE,,SUBARKOSE,,PRIMARY INTERGRANULAR,25.0,7.6,31.14,12.0,0.0,0.0,623.22,,,,,,,,,,CONTINUOUS WATER INJECTION/GAS RECYCLING,,DRILLING/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,EXTENDED REACH WELL,,,GAS LIFT,GRAVEL PACK/PRE-PACKED SAND SCREEN,STEP-OUT DEVELOPMENT DRILLING,
KOROBKOV,BOBRIKOV B2,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,VOLGA-URAL,50.3333,44.6375,OIL,1995.0,PRIMARY RECOVERY,MATURE,,0.0,,ONSHORE,-196.85,145.0,2552.0,AQUIFER DRIVE,1112:FORELAND ANTICLINE,4855.64,4658.79,3.0,403.54,CARBONIFEROUS,24:COASTAL,LAYER-CAKE,SHALENONE,65.62,0.5,10.0,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,20.0,460.0,40.0,2.0,9.0,0.0,1300.0,,,,,10.0,616.0,,66.0,,,,,,,,,,,5446.0
KOTABATAK,BEKASAP (A SAND),1P ,INDONESIA,ASIA-PACIFIC,SUMATRA CENTRAL,0.687,101.13,OIL,2007.0,SECONDARY RECOVERY,SECONDARY DECLINE,300.00,120.0,34891.0,ONSHORE,-115.0,260.0,2060.0,GAS DRIVE,113:INVERSION ANTICLINE,4565.0,4450.0,2.0,620.0,NEOGENE,24:COASTAL,JIGSAW-PUZZLE,SHALELATERAL FACIES CHANGE/SEALING FAULT,350.0,0.6,30.48,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,16.0,400.0,29.0,,0.0,0.0,44.0,,,,2000.0,,835.0,,47.5,,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,HYDRAULIC FRACTURING (SINGLE STAGE),MODIFICATION IN INJECTION PATTERN,ROD PUMP,,,4650.0
KULESHOV,A3,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,VOLGA-URAL,52.8381,51.2136,OIL,1994.0,SECONDARY RECOVERY,MATURE,113.00,119.0,57959.0,ONSHORE,-200.0,118.0,2669.0,AQUIFER DRIVE,1112:FORELAND ANTICLINE,5578.0,5381.0,3.0,344.0,CARBONIFEROUS,24:COASTAL,LAYER-CAKE, NONE,74.0,0.86,13.59,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,20.0,177.0,45.0,0.66,4.1,10.0,711.0,,1.16,1769.0,269090.0,17.0,372.0,,56.0,,CONTINUOUS WATER INJECTION,,DRILLING/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT,INFILL WELL,,MODIFICATION IN INJECTION PATTERN/CHANGING WATER INJECTION DIRECTION,ESP,,,5381.0
KUPARUK RIVER,KUPARUK RIVER,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,NORTH SLOPE,70.34,-149.5375,OIL,2008.0,ENHANCED OIL RECOVERY,DECLINE,619.00,80.0,324674.0,ONSHORE,-20.0,155.0,3125.0,GAS DRIVE,2211:REGIONAL SUBCROP,5620.0,5600.0,0.8,1000.0,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALELATERAL FACIES CHANGE,180.0,0.35,12.19,SANDSTONE,FINE-GRAINED SAND,SUBLITHARENITE,TYPE IV,PRIMARY INTERGRANULAR,24.0,125.0,24.0,2.0,0.0,0.0,500.0,,1.25,2920.0,25000.0,35.0,6452.0,11.0,47.0,,CONTINUOUS WATER INJECTION/WAG IMMISCIBLE INJECTION,MISCIBLE,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/SLIM-HOLE WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,ESP/FORMATION POWERED JET PUMP/GAS LIFT,,RE-COMPLETION,6000.0
KUPARUK RIVER,KUPARUK RIVER (UNIT A),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,NORTH SLOPE,70.34,-149.5375,OIL,2008.0,ENHANCED OIL RECOVERY,DECLINE,619.00,80.0,,ONSHORE,-20.0,155.0,3125.0,GAS DRIVE,2211:REGIONAL SUBCROP,,,0.8,1000.0,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALELATERAL FACIES CHANGE,150.0,0.25,6.1,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,QUARTZ ARENITE,TYPE IV,PRIMARY INTERGRANULAR,23.0,113.0,24.0,2.0,0.0,0.0,500.0,,1.25,2920.0,25000.0,35.0,3690.0,,45.0,,CONTINUOUS WATER INJECTION/WAG IMMISCIBLE INJECTION,MISCIBLE,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,HYDRAULIC FRACTURING (SINGLE STAGE),,ESP/FORMATION POWERED JET PUMP/GAS LIFT,,RE-COMPLETION,6000.0
KUPARUK RIVER,KUPARUK RIVER (UNIT C),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,NORTH SLOPE,70.34,-149.5375,OIL,2008.0,ENHANCED OIL RECOVERY,DECLINE,619.00,160.0,,ONSHORE,-20.0,155.0,3125.0,GAS DRIVE,2231:ONLAP ONTO REGIONAL UNCONFORMITY,5620.0,5600.0,0.8,1000.0,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTLATERAL FACIES CHANGE,45.0,0.45,6.1,SANDSTONE,MEDIUM-GRAINED SAND,SUBLITHARENITE,,PRIMARY INTERGRANULAR,24.0,138.0,24.0,2.0,0.0,0.0,500.0,,1.25,2920.0,25000.0,35.0,2160.0,,53.0,,CONTINUOUS WATER INJECTION/WAG IMMISCIBLE INJECTION,MISCIBLE,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION,,ESP/FORMATION POWERED JET PUMP/GAS LIFT,,RE-COMPLETION,6000.0
