Year,Make,Price,Category
2020,Land Rover,,SUV
2020,Kia,,Van
2020,Kia,,Sedan
2020,Kia,,SUV
2020,Kia,,Sedan
2020,Kia,,Sedan
2020,Land Rover,,SUV
2020,Kia,,SUV
2020,Kia,,Sedan
2020,Jeep,,SUV
2020,Kia,,Wagon
2020,Land Rover,,SUV
2020,Land Rover,,SUV
2020,Kia,,Sedan
2020,Land Rover,,SUV
2020,Land Rover,,SUV
2020,Lexus,,Sedan
2020,Lexus,,Coupe
2020,Lexus,,SUV
2020,Lexus,,Coupe
2020,Lexus,,SUV
2020,Lexus,,Sedan
2020,Lexus,,Sedan
2020,Lexus,,Sedan
2020,Lexus,,SUV
2020,Mercedes-Benz,,SUV
2020,Mercedes-Benz,,Sedan
2020,Mitsubishi,,SUV
2020,Lincoln,,Sedan
2020,Lincoln,,SUV
2020,Lexus,,SUV
2020,MAZDA,,SUV
2020,Mitsubishi,,SUV
2020,MAZDA,,Sedan
2020,Mitsubishi,,Sedan
2020,Lincoln,,SUV
2020,Nissan,,SUV
2020,MAZDA,,SUV
2020,Lincoln,,SUV
2020,Lincoln,,SUV
2020,Mercedes-Benz,,SUV
2020,Lincoln,,SUV
2020,Lexus,,SUV
2020,Nissan,,SUV
2020,Nissan,,SUV
2020,MAZDA,,Sedan
2020,Mercedes-Benz,,Convertible
2020,Nissan,,Van
2020,Mercedes-Benz,,SUV
2020,MAZDA,,SUV
2020,Nissan,,Van
2020,Mercedes-Benz,,Coupe
2020,MINI,,SUV
2020,Mercedes-Benz,,SUV
2020,Nissan,,Sedan
2020,Nissan,,Coupe
2020,Mercedes-Benz,,SUV
2020,Mitsubishi,,Hatchback
2020,Nissan,,Sedan
2020,Nissan,,Coupe
2020,Mitsubishi,,SUV
2020,Mitsubishi,,SUV
2020,Nissan,,Van
2020,Porsche,,Sedan
2020,Porsche,,Sedan
2020,Nissan,,SUV
2020,Nissan,,SUV
2020,Nissan,,Van
2020,Porsche,,Convertible
2020,Nissan,,SUV
2020,Porsche,,SUV
2020,Porsche,,SUV
2020,Porsche,,SUV
2020,Nissan,,Van
2020,Ram,,Pickup
2020,Ram,,Pickup
2020,Subaru,,Coupe
2020,Nissan,,Sedan
2020,Toyota,,Sedan
2020,Subaru,,Sedan
2020,Toyota,,Sedan
2020,Subaru,,Wagon
2020,Subaru,,SUV
2020,Subaru,,Sedan
2020,Toyota,,Hatchback
2020,Subaru,,SUV
2020,Toyota,,Sedan
2020,Toyota,,Coupe
2020,Subaru,,SUV
2020,Toyota,,Sedan
2020,Ram,,Pickup
2020,Toyota,,SUV
2020,Subaru,,SUV
2020,Toyota,,SUV
2020,Toyota,,Sedan
2020,Toyota,,Sedan
2020,Toyota,,Coupe
2020,Toyota,,SUV
2020,Toyota,,Hatchback
2020,Toyota,,Hatchback
2020,Toyota,,SUV
2020,Toyota,,Pickup
2020,Toyota,,Van
2020,Toyota,,SUV
2020,Toyota,,Sedan
2020,Toyota,,SUV
2020,Toyota,,SUV
2020,Toyota,,SUV
2020,Toyota,,Pickup
2020,Toyota,,Pickup
2020,Toyota,,Pickup
2020,Volkswagen,,Sedan
2020,Toyota,,Hatchback
2019,Acura,,SUV
2019,Acura,,Sedan
2019,Audi,,Sedan
2020,Volvo,,SUV
2019,Audi,,SUV
2019,Audi,,Sedan
2019,Audi,,SUV
2019,Audi,,SUV
2019,Audi,,Sedan
2019,Acura,,SUV
2019,Acura,,Coupe
2019,Audi,,Sedan
2019,Alfa Romeo,,Convertible
2020,Volvo,,SUV
2019,Acura,,SUV
2020,Volkswagen,,SUV
2020,Volvo,,SUV
2019,Audi,,Sedan
2019,BMW,,Convertible
2019,Acura,,Sedan
2019,Acura,,Sedan
2019,BMW,,Coupe
2019,Audi,,Convertible
2019,Audi,,Sedan
2019,Audi,,Wagon
2019,Audi,,SUV
2020,Volkswagen,,Sedan
2019,Audi,,SUV
2019,Audi,,Sedan
2019,Alfa Romeo,,SUV
2019,Alfa Romeo,,Sedan
2019,Audi,,Coupe
2019,Acura,,Sedan
2019,Audi,,Sedan
2019,Audi,,Sedan
2019,BMW,,Sedan
2019,Audi,,SUV
2019,BMW,,Sedan
2019,BMW,,Sedan
2019,BMW,,Convertible
2019,BMW,,Coupe
2019,BMW,,Coupe
2019,BMW,,Hatchback
2019,BMW,,Sedan
2019,BMW,,SUV
2019,BMW,,Sedan
2019,BMW,,Coupe
2019,Audi,,Coupe
2019,Cadillac,,SUV
2019,Buick,,Sedan
2019,BMW,,SUV
2019,BMW,,SUV
2019,Cadillac,,Sedan
2019,BMW,,SUV
2019,BMW,,SUV
2019,BMW,,SUV
2019,Chevrolet,,Coupe
2019,Cadillac,,SUV
2019,Chevrolet,,SUV
2019,Cadillac,,Sedan
2019,BMW,,SUV
2019,Buick,,Wagon
2019,Chevrolet,,Pickup
2019,Chevrolet,,Hatchback
2019,Cadillac,,Sedan
2019,BMW,,Coupe
2019,BMW,,SUV
2019,Buick,,SUV
2019,Buick,,Convertible
2019,Cadillac,,SUV
2019,Cadillac,,SUV
2019,Buick,,SUV
2019,Buick,,SUV
2019,Cadillac,,Sedan
2019,Chevrolet,,Sedan
2019,Chevrolet,,SUV
2019,Chevrolet,,Coupe
2019,BMW,,Convertible
2019,Cadillac,,Sedan
2019,Buick,,Sedan
2019,Cadillac,,Coupe
2019,Cadillac,,Coupe
2019,Chevrolet,,Van
2019,Chevrolet,,Pickup
2019,Chevrolet,,Van
2019,Chevrolet,,Van
2019,Chevrolet,,Sedan
2019,Chevrolet,,Pickup
2019,Chevrolet,,Sedan
2019,Chevrolet,,Pickup
2019,Chevrolet,,Pickup
2019,Chevrolet,,Van
2019,Chevrolet,,Pickup
2019,Chevrolet,,Pickup
2019,Chevrolet,,Pickup
2019,Chevrolet,,Pickup
2019,Chevrolet,,Sedan
2019,Chevrolet,,Hatchback
2019,Chevrolet,,Pickup
