1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction (macro-scale),164_Fluid flow restriction (meso-scale),170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
MALING,YANAN,1P ,CHINA,ASIA-PACIFIC,ORDOS,36.22,107.62,OIL,2010,SECONDARY RECOVERY,SECONDARY DECLINE,988,736,384,40,2010,3764,81.1,1982,15912,ONSHORE,-3937.01,120,787,2100,787,1990,1706,GAS DRIVE,2232:ONLAP ONTO STRUCTURAL FLANK UNCONFORMITY,3773,-164,1.5,1150,JURASSIC,21:FLUVIAL,LAYER-CAKE,SHALE/TIGHT CLASTICS,LATERAL FACIES CHANGE/LATERAL SHALE-OUT,980,,,7.28,SANDSTONE,MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,16,75,,35.6,1.21,3,25,12.12,43,2.31,230,,1.14,658,63.3,67750,36.5,563,184,58,,4,32.7,,22.38,,31,0.045,0.25,1973-11,CONTINUOUS WATER INJECTION,1996,CHEMICAL/OTHER,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE)/SCALE INHIBITOR TREATMENT,WATER INJECTION ON A ZONAL BASIS,ROD PUMP,,ADDITIONAL PERFORATION/HIGH WATER-CUT WELL SHUT-IN/PROFILE MODIFICATION/WATER PLUGGING
MALOICH,M11,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,SIBERIAN WESTERN,56.8172,78.4836,OIL,1991,SECONDARY RECOVERY,DECLINE,,,9,0,1991,4800,,1990,5000,ONSHORE,-427,216,8923.88,4177,8923.88,,,AQUIFER DRIVE,2221:BURIED-HILL,9120.73,8694.23,3,360.89,DEVONIAN,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,NONE,LATERAL FACIES CHANGE/NON-FRACTURED ZONE,,65.62,,20,CARBONATES,,,TYPE II,VUGGY/CAVERNOUS,10,0.8,2.5,37,,5.7,0.13,4.7,,0,373,,,,,,,,36.1,,,,,,,,,,,1992,CONTINUOUS WATER INJECTION,,,,,,,,,
MALOSSA,DOLOMIA PRINCIPALE-ZANDOBBIO,1P ,ITALY,EUROPE,PO,45.5061,9.5583,GAS-CONDENSATE,1992,ABANDONED,,13,10,,60,1987,1600,,1979,25306,ONSHORE,-413,311,19127,15179,19127,1992,11380,AQUIFER DRIVE,1111:THRUST ANTICLINE,16748,16335,30,2694,JURASSIC/TRIASSIC,11:LOW-ENERGY CARBONATE MUD,LABYRINTH,NONE,NON-FRACTURED ZONE,,,,298.71,CARBONATES,PACKSTONE/GRAINSTONE,INTRACLAST/OOLITE,TYPE II,VUGGY,3,21,50,53,0.5,,,0.04,79,1.34,,187,,,,14000,45,,59.5,,0,,,,,,,,,,,,,OTHER RESERVOIR MANAGEMENT,,,,,,CORROSION INHIBITOR TREATMENT
MANGALA,FATEHGARH,2P ,INDIA,ASIA-PACIFIC,BARMER,25.8779,71.4024,OIL,2010,DEVELOPING,DEVELOPING,107,48,,0,2010,116058,,2010,116058,ONSHORE,-610,149,,1495,,,,,1211:TILTED FAULT-BLOCK,2580,1970,9,1181,PALEOGENE,23:LACUSTRINE,LAYER-CAKE,SHALE,NONE,950,490,0.52,140.21,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND/COARSE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,26,5000,2400,27,,13,385,30.1,,0,180,,,,118,8030,10,1293,418,,,,32.3,,,,,,,,,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,,ESP,SAND SCREEN,RE-PERFORATION
MANN,PEGU,1P ,MYANMAR,ASIA-PACIFIC,CENTRAL BURMA,20.1167,94.8333,OIL,2012,PRIMARY RECOVERY,MATURE,667,,335,8.5,2012,,67.64,1979,,ONSHORE,-180,,,,,,,GAS DRIVE,112:TRANSPRESSIONAL ANTICLINE,295.28,,45,,NEOGENE/PALEOGENE,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL FACIES CHANGE/SEALING FAULT,2979,,,163.07,SANDSTONE,MEDIUM-GRAINED SAND,FELDSPATHIC LITHARENITE/LITHARENITE,,PRIMARY INTERGRANULAR,18,40,,38,0.65,,,0.1,83.68,0.53,,,,,80,8500,27,,,23.76,,,33.03,,27.54,,46,0.04,0.21,1975,CONTINUOUS WATER INJECTION,2010,OTHER,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,ROD PUMP,,ADDITIONAL PERFORATION/RE-COMPLETION/SHUT-IN WELL REOPEN/SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING
MANSURI,ASMARI,1P ,IRAN,MIDDLE EAST,ZAGROS,30.8833,48.8333,OIL,2007,DEVELOPING,DEVELOPING,,,,0,2007,,,2006,100000,ONSHORE,-40,180,7447,3490,7447,,,AQUIFER DRIVE,1112:FORELAND ANTICLINE,7094,7054,5,387,NEOGENE/PALEOGENE,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,NONE,NON-FRACTURED ZONE,427,226.31,0.53,61.88,CARBONATES,MEDIUM-GRAINED SAND/COARSE-GRAINED SANDWACKESTONE/PACKSTONE,ALGAE/FORAMINIFERA,TYPE IV,INTERCRYSTALLINE,24,,,30,,1.18,,2.2,,0,450,,1.53,2155,,,,3300,1300,,,,39.4,,,,,,,,,,,STIMULATION/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,,EXPANDABLE SAND SCREEN,RE-COMPLETION
MANSURI,ILAM,1P ,IRAN,MIDDLE EAST,ZAGROS,30.8833,48.8333,OIL,2007,DEVELOPING,DEVELOPING,,,,0,2007,,,,,ONSHORE,-40,225,10459,5660,10459,,,GAS DRIVE,1112:FORELAND ANTICLINE,10211,10170,8,1270,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE,NONE,328,213.2,0.65,64.92,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,13,0.8,,22,,,,4.1,,0,340,,1.25,1325,,,37,9034,723,,,,8,,,,,,,,,,,STIMULATION,,ACIDIZATION,,,,
MANSURI,SARVAK 1,1P ,IRAN,MIDDLE EAST,ZAGROS,30.8833,48.8333,OIL,2007,DEVELOPING,DEVELOPING,,,,0,2007,,,,,ONSHORE,-40,235,11361,5750,11361,,,GAS DRIVE,1112:FORELAND ANTICLINE,10703,10633,8,1237,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE,NONE,820,615,0.75,185,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,9,0.2,,25,,,,2.4,,0,340,,1.25,,,,28,5582,447,,,,8,,,,,,,,,,,STIMULATION,,ACIDIZATION,,,,
MANSURI,SARVAK 2,1P ,IRAN,MIDDLE EAST,ZAGROS,30.8833,48.8333,OIL,2007,DEVELOPING,DEVELOPING,,,,0,2007,,,,,ONSHORE,-40,244,12361,6220,12361,,,GAS DRIVE,1112:FORELAND ANTICLINE,11851,11811,8,886,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE,NONE,632,366.56,0.58,110.03,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,9,,,25.5,,,,0,,0,340,,1.25,,,,28,3201,256,,,,8,,,,,,,,,,,STIMULATION,,ACIDIZATION,,,,
MARA,LA LUNA-COGOLLO,1P ,VENEZUELA,LATIN AMERICA,MARACAIBO,10.8861,-71.8913,OIL,2006,PRIMARY RECOVERY,MATURE,,,,0,2006,6490,,1950,79000,ONSHORE,-45,,,4345,9000,1956,2100,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,5070,5030,15,6000,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,TANK LIKE,BLOCK-BOUNDING FAULT,NON-FRACTURED ZONE,1750,,,,CARBONATES,GRAINSTONE,ONCOLITE/OOLITE,TYPE II,INTERPARTICLE/MOLDIC,2,0.1,,29,,,,5,,0,690,,,,,97500,,,420,,,,,,,,,,,,,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,,,COILED TUBING TREATMENT
MARA,UNNAMED,1P ,VENEZUELA,LATIN AMERICA,MARACAIBO,10.8861,-71.8913,OIL,2006,PRIMARY RECOVERY,MATURE,,,,0,,,,,,ONSHORE,-45,,,,,1956,4000,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,,,,,PALEOZOIC,31:BASEMENT,TANK LIKE,BLOCK-BOUNDING FAULT,NON-FRACTURED ZONE,1000,,,,OTHERS,,,TYPE I,FRACTURE,1,0.1,,29,,,,5,,0,690,,,,,97500,,,52,,,,,,,,,,,,,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,,,COILED TUBING TREATMENT
MARCELLUS SHALE PLAY,MARCELLUS SHALE,2P ,UNITED STATES OF AMERICA,NORTH AMERICA,APPALACHIAN,40.4076,-78.1701,GAS,2010,DEVELOPING,DEVELOPING,2418,1237,,80,2010,142000,,2010,142000,ONSHORE,-1000,150,6000,4000,6000,,,GAS DRIVE,252:ORGANIC-RICH SHALE,5000,4000,0.6,,DEVONIAN,25:DEEP MARINE,TANK LIKE,NONE,NON-FRACTURED ZONE,500,150,0.3,45.72,OTHERS,,,TYPE III,MICROPOROSITY,6,0,,0,0.56,,,0,,0,,12,,,,,23,166700,25000,,,,,15,,,,,,,,,,DRILLING/STIMULATION,HORIZONTAL WELL,HYDRAULIC FRACTURING (MULTI-STAGE),,,,
MARIMBA,CARAPEBUS,1P ,BRAZIL,LATIN AMERICA,CAMPOS,-22.6633,-40.5492,OIL,2009,SECONDARY RECOVERY,DECLINE,,24,24,195,2009,25820,45.8,1994,62182,OFFSHORE,1804.46,234,8868,4010,8868,2010,2620,AQUIFER DRIVE,2243:CANYON-FILL,6856.96,8661.42,2,374,CRETACEOUS,25:DEEP MARINE,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE,LATERAL FACIES CHANGE,410,,,,SANDSTONE,MEDIUM-GRAINED SAND/COARSE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,27,2500,,29,,2,1190,0,,0,416,,1.29,2958,,,,736,350,46,,,47.6,,41.3,,51,0.097,14.6,2002,CONTINUOUS WATER INJECTION,,,ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,,,,GAS LIFT,FRAC PACK/PRESSURE DRAWDOWN CONTROL,FLOWING RATE CONTROL/SELECTIVE PERFORATION/STEP-OUT DEVELOPMENT DRILLING/WATER CONING CONTROL/WATER PLUGGING
MARKHAM,LEMAN SANDSTONE/SLOCHTEREN SANDSTONE,1P ,NETHERLANDS-UNITED KINGDOM,EUROPE,NORTH SEA SOUTHERN,53.8671,2.8571,GAS,2006,PRIMARY RECOVERY,DECLINE,,9,9,1000,2006,11169,,1995,47510,OFFSHORE,118,224,11352,5711,11352,,,GAS DRIVE,1212:HORST BLOCK,10872,10990,,476,PERMIAN,22:DESERT,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE,LATERAL FACIES CHANGE,113,94.92,0.84,27.43,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,,,PRIMARY INTERGRANULAR,14,10,,0,0.78,,,0,,11,,9,,,,173000,23,156,117,,,,,75,,73.23,,,,,,,,DRILLING/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,,,,STEP-OUT DEVELOPMENT DRILLING
MARKOVO,OSA,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,SIBERIAN EASTERN,57.4375,107.3058,OIL,2010,DEVELOPING,DEVELOPING,,,,0,2010,400,,2008,600,ONSHORE,-2000,92,7070,3983,7070,,,AQUIFER DRIVE,1142:BASEMENT-DRAPE ANTICLINE,7964,5964,1,,CAMBRIAN,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,TIGHT CARBONATE,NON-FRACTURED ZONE/NON-KARSTIC ZONE,221,,,,CARBONATES,MUDSTONE/WACKESTONE,,TYPE II,VUGGY,4,,,42,0.76,,,1.92,75.3,2.4,1580,,1.9,3156,,,44,,10,,,,,,,,,,,,,,,STIMULATION,,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,,,
MARKOVO,PARFENOV,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,SIBERIAN EASTERN,57.4375,107.3058,GAS-CONDENSATE,2012,DEVELOPING,DEVELOPING,,,,0,2010,400,,2008,600,ONSHORE,-2000,99,9120,3472,9120,,,AQUIFER DRIVE,1142:BASEMENT-DRAPE ANTICLINE,9283,7283,1,99,PROTEROZOIC,24:COASTAL,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE,172,33,0.61,7.62,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,8,152,,60,0.86,,,1.13,78.9,3.73,,100,,,,,,,120,,,,,,,,,,,,,,,,,,,,,
MARLIM,CARAPEBUS,1P ,BRAZIL,LATIN AMERICA,CAMPOS,-22.4348,-40.0666,OIL,2010,SECONDARY RECOVERY,DECLINE,205,,81,125,2010,282000,54,2002,650000,OFFSHORE,2800,176,8307,4082,8307,,,GAS DRIVE,2112:LATERAL DEPOSITIONAL PINCH-OUT,5300,8100,2.5,932,NEOGENE/PALEOGENE,25:DEEP MARINE,LAYER-CAKE,NONE,LATERAL SHALE-OUT/SEALING FAULT,150,148,0.86,45.11,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,30,2000,2670,21,,6,330,1.75,,0,450,,,3796,,,15,6365,2700,700,,,42,,31.42,,,,,1994-09,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION/SCALE INHIBITOR TREATMENT,,GAS LIFT,GRAVEL PACK/FRAC PACK,COILED TUBING TREATMENT/SCALE REMOVAL/SIDETRACKING/WAX REMOVAL
MARLIM SUL,CARAPEBUS,1P ,BRAZIL,LATIN AMERICA,CAMPOS,-22.2,-40.2,OIL,2010,PRIMARY RECOVERY,DEVELOPING,112,,,200,2010,240000,,2010,240000,OFFSHORE,4600,139,9212,4230,9212,,,GAS DRIVE,2112:LATERAL DEPOSITIONAL PINCH-OUT,3800,8400,,,NEOGENE/PALEOGENE,25:DEEP MARINE,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/LATERAL SHALE-OUT/SEALING FAULT,,,,15,SANDSTONE,FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,32,2000,8330,20,,60,33,0,,0,610,,1.15,4060,,,14,11400,3100,2510,,,27,,5.18,,,,,1999,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/EXTENDED REACH WELL,ACIDIZATION,WATER INJECTION ON A ZONAL BASIS,GAS LIFT,GRAVEL PACK/SAND SCREEN,COILED TUBING TREATMENT
MARMUL,AL KHLATA,1P ,OMAN,MIDDLE EAST,SOUTH OMAN SALT,18.1499,55.2499,OIL,2006,SECONDARY RECOVERY,SECONDARY DECLINE,202,178,178,90,2006,26827,82.1,1982,36280,ONSHORE,-850,122,2000,1350,2000,,,AQUIFER DRIVE,1173:SALT DISSOLUTION ANTICLINE,2610,1760,10,420,PERMIAN/CARBONIFEROUS,26:GLACIOGENIC,JIGSAW-PUZZLE,NONE,LATERAL FACIES CHANGE,475,166,0.7,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,LITHARENITE,,PRIMARY INTERGRANULAR,27,300,,22,,90,3,2,,0,135,,1.07,1125,,7404,16,1472,353,116,,15,24,,16.1,,27,0.018,1.98,1993,CONTINUOUS WATER INJECTION,1985,THERMAL/CHEMICAL,DRILLING/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,,MODIFICATION IN INJECTION PATTERN,ROD PUMP/PCP,GRAVEL PACK/SLOTTED LINER/SAND SCREEN,ADDITIONAL PERFORATION/COILED TUBING TREATMENT/INTERMITTENT PRODUCTION OF HIGH WATER-CUT WELLS/SAND CLEANING/WATER PLUGGING
MARMUL,MAHWIS (HAIMA WEST),1P ,OMAN,MIDDLE EAST,SOUTH OMAN SALT,18.1499,55.2499,OIL,2005,SECONDARY RECOVERY,SECONDARY DECLINE,72,59,48,0,2005,6295,71.2,2001,11265,ONSHORE,-850,,,,,1987,870,AQUIFER DRIVE,1173:SALT DISSOLUTION ANTICLINE,6920,6070,10,,ORDOVICIAN/CAMBRIAN,21:FLUVIAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL SHALE-OUT,2000,1300,0.7,,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,LITHARENITE,,PRIMARY INTERGRANULAR,29,275,,22,,90,3,2,,0,,,,,,7404,,1270,305,256,,6,24,,3.86,,,,6.35,1996,CONTINUOUS WATER INJECTION,,,DRILLING/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/SAND CONTROL,INFILL WELL/HORIZONTAL WELL,,MODIFICATION IN INJECTION PATTERN,ROD PUMP/PCP,GRAVEL PACK/SAND SCREEN,
MARS,D-T1 SANDS,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,28.16,-89.16,OIL,2008,SECONDARY RECOVERY,DECLINE,35,27,,0,2008,103318,9.1,2003,158951,OFFSHORE,2940,167,16726,11305,16726,2007,5803,COMPACTION,2232:ONLAP ONTO STRUCTURAL FLANK UNCONFORMITY,7060,10000,25,,NEOGENE,25:DEEP MARINE,LAYER-CAKE,SHALE,LATERAL SHALE-OUT,,982,0.3,134.11,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,25,311,512,28,,,,2.25,,0,975,,1.38,,,220000,28,3100,800,260,,,26,,17.42,,53,-0.002,29.63,2004-07,CONTINUOUS WATER INJECTION,,,DRILLING/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,,,,,GRAVEL PACK/SAND SCREEN/FRAC PACK,SIDETRACKING
MASJID-I-SULEIMAN,ASMARI,1P ,IRAN,MIDDLE EAST,ZAGROS,32,49.3,OIL,2004,PRIMARY RECOVERY,MATURE,240,121,,0,,4300,,1934,118000,ONSHORE,-1300,102,,850,,2004,450,GAS DRIVE,1111:THRUST ANTICLINE,2000,640,,984,NEOGENE/PALEOGENE,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,EVAPORITE,NON-FRACTURED ZONE,1075,688,0.64,209.7,CARBONATES,WACKESTONE/PACKSTONE,ALGAE/FORAMINIFERA,TYPE II,FRACTURE,13,0.25,,38,,3.5,0.07,1.3,84.4,5,231,,,740,,282000,30,5300,1385,270,,,26,,21.04,,,,11.45,,,,,DRILLING/ARTIFICIAL LIFT,HORIZONTAL WELL,,,ESP/GAS LIFT,,
MASTAKH,KYZYLSYR,1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,SIBERIAN EASTERN,63.75,124,GAS,2004,PRIMARY RECOVERY,DECLINE,,,33,90,2004,3834,,1980,16000,ONSHORE,-377,102,5709,2480,5709,2004,1581,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,5627,5250,2,230,JURASSIC,21:FLUVIAL,LAYER-CAKE,STRUCTURAL SADDLE/SHALE,NONE,900,,,7.01,SANDSTONE,MEDIUM-GRAINED SAND,LITHARENITE,,,20,95,,53,,,,0,,0,,15,,,,37000,39,77.5,,,,,,,,51.91,,,,,,,,,,,,,,
MATZEN,HAUPTDOLOMITE (SCHONKIRCHEN UBERTIEF),1P ,AUSTRIA,EUROPE,VIENNA,48.3942,16.7161,GAS,2001,SECONDARY RECOVERY,MATURE,,,,0,2001,,,,,ONSHORE,-610,347,19685,8558,15748,,,GAS DRIVE,1111:THRUST ANTICLINE,16030,15420,18,4616,TRIASSIC,11:LOW-ENERGY CARBONATE MUD,TANK LIKE,BLOCK-BOUNDING FAULT,NON-FRACTURED ZONE,2953,,,299.93,CARBONATES,MUDSTONE,,TYPE II,FRACTURE,3.8,2,,30,,,,0,,2.1,,,,,,,23,,,,,,,,,,,,,,,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,,,,,
MATZEN,HAUPTDOLOMITE-BOCKFLIESS BEDS,1P ,AUSTRIA,EUROPE,VIENNA,48.3942,16.7161,OIL,2001,SECONDARY RECOVERY,MATURE,,,,0,2001,,,1970,14000,ONSHORE,-610,217,9514,4300,9514,1994,3749,AQUIFER DRIVE,1162:BURIED-PALEORELIEF COMPACTION ANTICLINE,8960,8350,,788,NEOGENE/CRETACEOUS/TRIASSIC,11:LOW-ENERGY CARBONATE MUD,TANK LIKE,BLOCK-BOUNDING FAULT,NON-FRACTURED ZONE,623,,,,CARBONATES,CONGLOMERATEMUDSTONE,,TYPE II,VUGGY,4,5,1000,30,,1.3,3.84,0,,0,382,,,,,101000,,139,64,,,,46,,40.29,,,,,,CONTINUOUS WATER INJECTION/GAS INJECTION,,,,,,,,,
MATZEN,MATZEN SAND (MAIN POOL),1P ,AUSTRIA,EUROPE,VIENNA,48.3942,16.7161,OIL,2006,SECONDARY RECOVERY,MATURE,288,126,104,15,2006,3258,93.5,1953,36575,ONSHORE,-610,140,4757,2393,4757,1997,1736,AQUIFER DRIVE,2221:BURIED-HILL,5330,4720,3,164,NEOGENE,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALE,LATERAL SHALE-OUT/SEALING FAULT,91.86,78.74,0.86,17.1,SANDSTONE,MEDIUM-GRAINED SAND,SUBLITHARENITE,,PRIMARY INTERGRANULAR,27,1190,,25,,5.8,205.17,0.19,91.8,3.4,266,,1.19,2393,-40,19000,18.6,471,232,22,,44,53,,48.05,55.5,47,0.041,2.23,1967-12,CONTINUOUS WATER INJECTION/GAS RECYCLING,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL,HYDRAULIC FRACTURING (SINGLE STAGE),MODIFICATION IN INJECTION PATTERN,ROD PUMP/ESP,GRAVEL PACK/PRE-PACKED SAND SCREEN,ADDITIONAL PERFORATION/RE-PERFORATION/WATER PLUGGING
MAUI,KAPUNI (C-D-F SANDS),1P ,NEW ZEALAND,ASIA-PACIFIC,TARANAKI,-39.6708,173.3099,GAS-CONDENSATE,2005,PRIMARY RECOVERY,DECLINE,,29,29,30,2005,48007,,1997,111700,OFFSHORE,360,210,8800,3880,,2002,3300,AQUIFER DRIVE,113:INVERSION ANTICLINE,8430,8790,3,400,PALEOGENE,24:COASTAL,LAYER-CAKE,STRUCTURAL SADDLE/SHALE/COAL,LATERAL FACIES CHANGE,1150,713,0.62,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,SECONDARY INTERGRANULAR,25,200,,51.5,,1.18,169.49,0.1,,8.7,1450,46,,,67,48000,,1600,835,,,,,53,,44.12,,,,,,,,,,,,,,
MAUREEN,MAUREEN,1P ,UNITED KINGDOM,EUROPE,NORTH SEA CENTRAL,58.1228,1.7228,OIL,1999,ABANDONED,,24,14,,130,1999,2996,84.1,1985,77634,OFFSHORE,325,247,8300,3792,8300,1993,2800,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,7625,7950,5,780,PALEOGENE,25:DEEP MARINE,TANK LIKE,NONE,NONE,210,125,0.6,38.1,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,SUBLITHARENITE,,PRIMARY INTERGRANULAR,22,300,,36,0.78,0.7,428,14.55,,0,393,,1.29,1786,14,30000,34,398,217.4,0,,,54.6,,54.62,,67,0.006,19.39,1984-06,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,MODIFICATION IN INJECTION PATTERN,ESP/GAS LIFT,,COILED TUBING TREATMENT/CORROSION INHIBITOR TREATMENT/HIGH WATER-CUT WELL SHUT-IN/RE-COMPLETION/RE-PERFORATION/SIDETRACKING
