1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction (macro-scale),164_Fluid flow restriction (meso-scale),170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
LYANTOR,VARTOV (UNIT AC9),1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,SIBERIAN WESTERN,61.75,72,OIL,2008,SECONDARY RECOVERY,PRIMARY REJUVENATING,,,1860,40,2001,70024,77,2008,70024,ONSHORE,-310,143,6644,3140,6644,,,AQUIFER DRIVE,1162:BURIED-PALEORELIEF COMPACTION ANTICLINE,6955.38,6643.7,0.5,157.48,CRETACEOUS,24:COASTAL,,NONE,NONE,20.34,11.15,0.55,3.4,SANDSTONE,FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,24.3,613,,26.5,0.69,4.3,160.23,9.1,,1.8,385,8,1.17,2236,,15000,39,1913,554,175.8,,,29,,19.76,,,,,1981,CONTINUOUS WATER INJECTION/GAS RECYCLING,,CHEMICAL,STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION/VIBRATION,MODIFICATION IN INJECTION PATTERN/CHANGING WATER INJECTION DIRECTION/SELECTIVE INJECTION,,,PROFILE MODIFICATION/SIDETRACKING
LYANTOR,VARTOV (UNITS AC9-11),1P ,RUSSIAN FEDERATION,FORMER SOVIET UNION,SIBERIAN WESTERN,61.75,72,OIL,2012,SECONDARY RECOVERY,DECLINE,5765,,3619,40,2001,89436,92.7,1990,206000,ONSHORE,-310,143,6644,3140,6644,,,AQUIFER DRIVE,1162:BURIED-PALEORELIEF COMPACTION ANTICLINE,6955.38,6643.7,0.5,157.48,CRETACEOUS,24:COASTAL,LAYER-CAKE,SHALE,NONE,142.39,47.24,0.33,14.4,SANDSTONE,FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,24.7,655,,26.5,0.66,4.7,160.23,9.1,,1.8,385,8,1.17,2075,,15000,40,5647,1531,278,,,27,,22.19,,25,0.013,,1978,CONTINUOUS WATER INJECTION/GAS RECYCLING,,CHEMICAL,STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION/VIBRATION,WATER INJECTION ON A ZONAL BASIS/SELECTIVE INJECTION,ROD PUMP/ESP/GAS LIFT,,HIGH GOR WELL SHUT-IN/HIGH WATER-CUT WELL SHUT-IN/RE-PERFORATION/SELECTIVE PERFORATION/SIDETRACKING/WATER PLUGGING
MABEE,SAN ANDRES,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,PERMIAN,32.226,-102.23,OIL,2011,SECONDARY RECOVERY,DECLINE,785,613,,20,1981,1756,,1980,11060,ONSHORE,-3000,106,1710,1995,1710,1978,510,GAS DRIVE,2111:LATERAL FACIES CHANGE,4680,1680,0.5,200,PERMIAN,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE,TIGHT CARBONATE,LATERAL FACIES CHANGE,400,,,15.24,CARBONATES,GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE/MICROPOROSITY,10.5,8,,32,0.93,3.27,2.44,2,49.8,8.5,117,,1.08,347,,48000,29,432,131,4,,,30.3,,29.4,,31,0.017,0.21,1953,CONTINUOUS WATER INJECTION/GAS RECYCLING,1992,MISCIBLE,DRILLING/STIMULATION/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,ROD PUMP,,
MACHAR,CHALK GROUP,1P ,UNITED KINGDOM,EUROPE,NORTH SEA CENTRAL,57.0833,2.0833,OIL,2007,SECONDARY RECOVERY,DECLINE,,7,7,240,2007,10495,,1999,36192,OFFSHORE,278.87,190,4265,3190,4100,,,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,3812.34,4091.21,52,4495,CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,NONE,NON-FRACTURED ZONE,574,459.2,0.8,,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,22,0.2,,41,,0.4,0.5,0.13,,0,877,,1.45,3160,,17500,,439,135,,,,31,,18.97,,,,,1998-10,CONTINUOUS WATER INJECTION,,,STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,EXTENDED REACH WELL,ACIDIZATION,,GAS LIFT,,SELECTIVE PERFORATION/SHUT-IN WELL REOPEN/WATER CONING CONTROL
MACKEREL,LATROBE L-1,1P ,AUSTRALIA,ASIA-PACIFIC,GIPPSLAND,-38.4822,148.3556,OIL,2001,PRIMARY RECOVERY,DECLINE,41,41,22,138.38,2001,,,1982,136803.38,OFFSHORE,305.12,230,7545.93,3430,7700.13,,,AQUIFER DRIVE,221:SUB-UNCONFORMITY TRUNCATION,7234.25,7539.37,3,328.08,PALEOGENE,21:FLUVIAL,LAYER-CAKE,SHALE/TIGHT CLASTICS,,328.08,298.56,0.91,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND/COARSE-GRAINED SAND,QUARTZ ARENITE/SUBLITHARENITE,,PRIMARY INTERGRANULAR,22,800.47,,45.38,,0.46,,23,,0,111,,1.23,378.55,69.08,35000,18,,,27.86,6.357,70,70,,,,,,12.21,,,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/EXTENDED REACH WELL,,,GAS LIFT,,SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING
MADURA MDA,PACIRAN (MADURA LIMESTONE),3P ,INDONESIA,ASIA-PACIFIC,JAVA EAST,-7.3261,114.5577,GAS,2012,APPRAISAL,,4,,,0,,,,,,OFFSHORE,330,,,,,,,,113:INVERSION ANTICLINE,2554,2884,,702,NEOGENE,14:FORESLOPE-BASIN,,NONE,LATERAL FACIES CHANGE,,,,,CARBONATES,WACKESTONE/PACKSTONE/GRAINSTONE,PLANKTONIC FORAMINIFERA,,INTRAPARTICLE,30,100,,0,,,,0,,0,,,,,,,,512,310,,,,30,80,,,,,,,,,,,,,,,,
MAGNUS,MAGNUS SANDSTONE,1P ,UNITED KINGDOM,EUROPE,NORTH SEA NORTHERN,61.6158,1.2839,OIL,2008,ENHANCED OIL RECOVERY,MATURE,90,40,15,200,2008,25935,79.2,1989,143753,OFFSHORE,610,240,10006,6653,10006,1998,3943,GAS DRIVE,2212:PALEOSTRUCTURAL SUBCROP,8543,9153,11,1233,JURASSIC,25:DEEP MARINE,LAYER-CAKE,SHALE,LATERAL SHALE-OUT/SEALING FAULT,330,264,0.8,64.92,SANDSTONE,MEDIUM-GRAINED SAND,SUBARKOSE,,PRIMARY INTERGRANULAR,21,350,20,39,,0.3,1667,5.28,,0,750,,1.43,2750,37,20000,17,1600,869,49,,8,54.3,,51.24,,63,0.01,21.73,1984-07,CONTINUOUS WATER INJECTION,2002-10,MISCIBLE,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/MULTI-LATERAL WELL/EXTENDED REACH WELL,SCALE INHIBITOR TREATMENT,WATER INJECTION ON A ZONAL BASIS/MODIFICATION IN INJECTION PATTERN,GAS LIFT,,PROFILE MODIFICATION/RE-COMPLETION/SIDETRACKING
MAHOGANY (TRINIDAD),21 SAND,1P ,TRINIDAD AND TOBAGO,LATIN AMERICA,EASTERN VENEZUELA,10.1169,-60.2932,OIL,2005,PRIMARY RECOVERY,DECLINE,,15,11,250,2005,6020,39.6,2002,28413,OFFSHORE,280,173,10096,4934,10096,,,AQUIFER DRIVE,1182:FAULT-DRAG ANTICLINE,9308,9588,8,505,NEOGENE,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE,SEALING FAULT,,,0.95,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,30,1000,,81.9,0.59,0.61,,17,,0,979,,1.44,,,,17,242,,4.5,,40.7,40.7,,36.57,,,,2.93,,,,,DRILLING/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,,,GAS LIFT,GRAVEL PACK/SAND SCREEN/PRESSURE DRAWDOWN CONTROL,FLOWING RATE CONTROL/RE-COMPLETION/SIDETRACKING
MAHOGANY (TRINIDAD),UNNAMED,1P ,TRINIDAD AND TOBAGO,LATIN AMERICA,EASTERN VENEZUELA,10.1169,-60.2932,GAS,2003,PRIMARY RECOVERY,DECLINE,32,32,,500,2003,103200,39.6,2000,107431,OFFSHORE,280,172,9758,4758,9758,,,AQUIFER DRIVE,1182:FAULT-DRAG ANTICLINE,5720,6000,8,8000,NEOGENE,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE,SEALING FAULT,7000,3500,0.5,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,31,1500,,81.9,0.59,0.61,,17,,0,979,21,1.44,,,,20,847,507,13.8,1715,40.7,40.7,64.4,27.96,21.92,,,2.93,,,,,DRILLING/STIMULATION/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION,,,SAND SCREEN/FRAC PACK/PRESSURE DRAWDOWN CONTROL,FLOWING RATE CONTROL/RE-COMPLETION/SIDETRACKING
MAHOGANY (USA),O-P-Q SANDS,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,28.04,-90.96,OIL,2010,PRIMARY RECOVERY,MATURE,22,22,10,270,2010,2143,55.6,1998,12182,OFFSHORE,375,,,7200,,,,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,13265,13640,,,NEOGENE,25:DEEP MARINE,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/SHALE-FILLED CHANNEL,1500,295,0.2,,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,,,PRIMARY INTERGRANULAR,29,1500,,22,,,,0,,0,1300,,,,,,,,27,5.9,,,,,,,,,1.23,,,,,OTHER RESERVOIR MANAGEMENT,,,,,,RE-COMPLETION/SIDETRACKING
MAJNOON,MISHRIF,1P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,31.083,47.656,OIL,2009,DEVELOPING,DEVELOPING,,,,0,2009,,,,,ONSHORE,-33,,,,,,,,1151:SALT-DIAPIR ANTICLINE,7840,7808,5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE,LATERAL FACIES CHANGE,796,636.8,0.8,,CARBONATES,PACKSTONE/GRAINSTONE,FORAMINIFERA/RUDIST/PELOID,,INTERPARTICLE,14,70,,20,,,,0,,0,80,,,,,,22,20400,6500,,,,32,,,,,,,,,,,,,,,,,
MAJNOON,YAMAMA,1P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,31.083,47.656,OIL,2009,DEVELOPING,DEVELOPING,,,,0,2009,,,,,ONSHORE,-33,,,,,,,,1151:SALT-DIAPIR ANTICLINE,,,5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,,TIGHT CARBONATE,LATERAL FACIES CHANGE,1110,,,,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,16.5,40,,34,,,,0,,0,420,,,,,,,8700,2800,,,,32,,,,,,,,,,,,,,,,,
MAKMUR,AIR BENAKAT (A37),1P ,INDONESIA,ASIA-PACIFIC,SUMATRA SOUTH,-1.4,103.75,OIL,2006,SECONDARY RECOVERY,MATURE,24,20,10,50,2006,2628,75.8,2002,9774,ONSHORE,-15.6,183,,1560,3650,2006,1500,AQUIFER DRIVE,1181:ROLLOVER ANTICLINE,3616,3600,0.7,127,NEOGENE,24:COASTAL,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE,123,55.35,0.45,14.81,SANDSTONE,FINE-GRAINED SAND,,,SECONDARY INTERGRANULAR,25.8,329,298,45,0.84,0.33,3021,0.81,68.95,0.27,470,18,1.42,1560,50,4500,32,59.7,26.9,6.8,,28,45,,33.5,,49,-0.004,0.96,2001-04,CONTINUOUS WATER INJECTION,,,DRILLING/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,WATER INJECTION ON A ZONAL BASIS,GAS LIFT,SLOTTED LINER/SAND SCREEN/CHEMICAL SAND CONSOLIDATION,ADDITIONAL PERFORATION/SIDETRACKING/WATER PLUGGING
MALAMPAYA,NIDO,1P ,PHILIPPINES,ASIA-PACIFIC,PALAWAN NORTHWEST,11.65,118.9,GAS-CONDENSATE,2009,DEVELOPING,DEVELOPING,13,9,5,1000,2002,66340,,,,OFFSHORE,2700,257,10932,4800,10932,,,GAS DRIVE,2121:ORGANIC BUILDUP,6100,8800,,2257,NEOGENE/PALEOGENE,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,NONE,NON-FRACTURED ZONE,,,,,CARBONATES,WACKESTONE/PACKSTONE,ALGAE/FORAMINIFERA,TYPE II,VUGGY/MICROPOROSITY,12,2.4,,29.4,,,,0,,4.05,,33,,,,,,,548,28.07,2423,,11.2,,0.72,,,,,,,,,DRILLING,HORIZONTAL WELL,,,,,
MALAY,SHATLYK,1P ,TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,38.65,62.82,GAS,2000,PRIMARY RECOVERY,PRIMARY REJUVENATING,,58,,0,2000,100520,,1989,120000,ONSHORE,-590,230,9350,3582,7887,2001,2886,AQUIFER DRIVE,1112:FORELAND ANTICLINE,7595,7005,5,246,CRETACEOUS,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT,NONE,210,111.3,0.53,12.5,SANDSTONE,MEDIUM-GRAINED SAND,SUBARKOSE,,PRIMARY INTERGRANULAR,21.3,280,,0,0.6,,,0,93,0.5,,0.5,,,,105000,39,,1180,,4810,,,,,,,,,,,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,,,WATER PLUGGING
