iter	Passed	Remaining
713	3633	1455
714	3637	1449
715	3640	1444
716	3644	1438
717	3649	1433
718	3653	1427
719	3657	1422
720	3661	1416
721	3665	1411
722	3671	1406
723	3676	1401
724	3680	1396
725	3684	1390
726	3688	1384
727	3692	1379
728	3696	1374
729	3700	1368
730	3704	1363
731	3708	1357
732	3712	1352
733	3716	1346
734	3719	1341
735	3723	1335
736	3727	1330
737	3732	1324
738	3735	1319
739	3739	1314
740	3743	1308
741	3748	1303
742	3752	1298
743	3756	1292
744	3761	1287
745	3765	1281
746	3769	1276
747	3774	1271
748	3778	1266
749	3783	1261
750	3787	1255
751	3791	1250
752	3795	1244
753	3799	1239
754	3802	1234
755	3806	1228
756	3810	1223
757	3813	1217
758	3817	1212
759	3820	1206
760	3824	1201
761	3827	1195
762	3831	1189
763	3834	1184
764	3838	1179
765	3842	1173
766	3846	1168
767	3849	1162
768	3853	1157
769	3856	1152
770	3860	1146
771	3863	1141
772	3867	1135
773	3871	1130
774	3875	1125
775	3879	1119
776	3883	1114
777	3887	1109
778	3891	1103
779	3894	1098
780	3898	1093
781	3901	1087
782	3905	1082
783	3908	1076
784	3911	1071
785	3914	1065
786	3917	1060
787	3921	1054
788	3924	1049
789	3927	1044
790	3930	1038
791	3934	1033
792	3936	1027
793	3940	1022
794	3943	1016
795	3946	1011
796	3949	1006
797	3952	1000
798	3956	995
799	3959	989
800	3962	984
801	3965	979
802	3968	973
803	3971	968
804	3974	962
805	3977	957
806	3979	951
807	3982	946
808	3984	940
809	3987	935
810	3989	929
811	3992	924
812	3994	918
813	3998	913
814	4000	908
815	4002	902
816	4004	897
817	4007	891
818	4011	886
819	4013	881
820	4015	875
821	4017	870
822	4020	864
823	4022	859
824	4025	853
825	4027	848
826	4029	842
827	4031	837
828	4033	832
829	4035	826
830	4037	821
831	4039	815
832	4041	810
833	4044	804
834	4046	799
835	4048	794
836	4050	788
837	4052	783
838	4054	778
839	4056	772
840	4058	767
841	4060	762
842	4062	756
843	4064	751
844	4066	745
845	4068	740
846	4069	735
847	4071	729
848	4073	724
849	4074	719
850	4076	713
851	4078	708
852	4080	703
853	4081	697
854	4083	692
855	4085	687
856	4087	681
857	4088	676
858	4090	671
859	4091	666
860	4093	660
861	4095	655
862	4097	650
863	4098	645
864	4100	639
865	4101	634
866	4103	629
867	4105	624
868	4106	619
869	4108	613
870	4109	608
871	4111	603
872	4113	598
873	4114	593
874	4116	588
875	4117	582
876	4119	577
877	4120	572
878	4122	567
879	4123	562
880	4125	557
881	4126	552
882	4128	547
883	4129	541
884	4131	536
885	4133	531
886	4134	526
887	4136	521
888	4137	516
889	4139	511
890	4140	506
891	4142	501
892	4144	496
893	4145	491
894	4147	486
895	4148	481
896	4150	476
897	4151	471
898	4153	466
899	4154	461
900	4156	456
901	4157	451
902	4159	446
903	4160	441
904	4162	436
905	4163	432
906	4165	427
907	4166	422
908	4168	417
909	4169	412
910	4171	407
911	4173	402
912	4174	397
913	4176	392
914	4177	388
915	4179	383
916	4180	378
917	4182	373
918	4183	368
919	4185	363
920	4187	359
921	4188	354
922	4190	349
923	4191	344
924	4193	339
925	4194	335
926	4196	330
927	4197	325
928	4199	320
929	4200	316
930	4202	311
931	4203	306
932	4205	302
933	4206	297
934	4208	292
935	4209	287
936	4211	283
937	4212	278
938	4214	273
939	4216	269
940	4217	264
941	4218	259
942	4220	255
943	4221	250
944	4223	245
945	4224	241
946	4226	236
947	4227	231
948	4228	227
949	4230	222
950	4231	218
951	4233	213
952	4234	208
953	4236	204
954	4237	199
955	4239	195
956	4240	190
957	4242	185
958	4243	181
959	4245	176
960	4246	172
961	4248	167
962	4249	163
963	4251	158
964	4252	154
965	4253	149
966	4255	145
967	4256	140
968	4258	136
969	4259	131
970	4261	127
971	4262	122
972	4264	118
973	4265	113
974	4267	109
975	4268	104
976	4270	100
977	4271	96
978	4272	91
979	4274	87
980	4276	82
981	4277	78
982	4278	73
983	4280	69
984	4281	65
985	4283	60
986	4284	56
987	4286	52
988	4287	47
989	4288	43
990	4290	38
991	4291	34
992	4293	30
993	4294	25
994	4296	21
995	4297	17
996	4298	12
997	4300	8
998	4301	4
999	4303	0
90	6666	60
991	6669	53
992	6671	47
993	6674	40
994	6677	33
995	6680	26
996	6683	20
997	6686	13
998	6689	6
999	6692	0

986	7014	92
987	7017	85
988	7020	78
989	7023	70
990	7026	63
991	7028	56
992	7031	49
993	7034	42
994	7037	35
995	7040	28
996	7042	21
997	7045	14
998	7048	7
999	7050	0
